date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00010063,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00010160,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00010252,"1,7",7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00010260,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00010390,"1,7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00010402,",7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00010425,",7",7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00010505,"1,7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00010583,",7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00010655,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00010764,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00011080,"1,7",8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00011099,"3,7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00011566,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00011620,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00011725,"1,7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00012096,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00012172,",7",10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00012209,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00012245,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00012350,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00012730,"4,7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00012758,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00012813,",7",9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00013154,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00013160,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00013251,",7",8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00013511,"1,7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00013519,"4,7",7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00013573,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00013575,"2,7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00013620,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00013645,"2,7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00013655,"1,7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00013775,"1,7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00013781,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00013818,",7",8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00014193,"2,7",7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00014502,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00015121,",7",6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00015553,",7",8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00015635,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00015751,"4,7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00016121,"2,7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00016129,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00016196,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00016988,",7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00017020,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00017025,"4,7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00017157,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00017207,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00017304,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00017366,"1,7",7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00017674,",7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00017999,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00018024,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00018380,",7",7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00018438,",7",6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00018469,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00018517,",7",6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00018812,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00018998,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000ABAN,",U",4.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000ABNS,",U",11.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000ALIR,",U",3.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000AOKM,",U",6.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000AOPE,",U",9.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000ASHK,",U",5.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000ATAL,",U",5.6
2015-01-01T00:00:00,TAVG,GHCND:USW00003856,",W",5.0
2015-01-01T00:00:00,TAVG,GHCND:USW00003878,"1,W",8.2
2015-01-01T00:00:00,TAVG,GHCND:USW00003892,",W",6.6
2015-01-01T00:00:00,TAVG,GHCND:USW00003896,"2,W",4.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013838,",W",10.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013839,",W",9.4
2015-01-01T00:00:00,TAVG,GHCND:USW00013871,",W",5.8
2015-01-01T00:00:00,TAVG,GHCND:USW00013876,",W",5.7
2015-01-01T00:00:00,TAVG,GHCND:USW00013894,",W",9.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013895,",W",8.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013896,",W",4.6
2015-01-01T00:00:00,TAVG,GHCND:USW00023801,",R",7.8
2015-01-01T00:00:00,TAVG,GHCND:USW00023802,",R",7.2
2015-01-01T00:00:00,TAVG,GHCND:USW00053820,"2,W",9.8
2015-01-01T00:00:00,TAVG,GHCND:USW00053852,",W",4.0
2015-01-01T00:00:00,TAVG,GHCND:USW00053861,",W",8.8
2015-01-01T00:00:00,TAVG,GHCND:USW00053864,",W",6.9
2015-01-01T00:00:00,TAVG,GHCND:USW00063857,",R",3.5
2015-01-01T00:00:00,TAVG,GHCND:USW00063858,",R",6.4
2015-01-01T00:00:00,TAVG,GHCND:USW00063862,",R",3.2
2015-01-01T00:00:00,TAVG,GHCND:USW00063867,",R",3.6
2015-01-01T00:00:00,TAVG,GHCND:USW00063868,",R",3.7
2015-01-01T00:00:00,TAVG,GHCND:USW00063869,",R",9.2
2015-01-01T00:00:00,TAVG,GHCND:USW00063870,",W",9.8
2015-01-01T00:00:00,TAVG,GHCND:USW00063872,",W",8.3
2015-01-01T00:00:00,TAVG,GHCND:USW00063873,",W",8.9
2015-01-01T00:00:00,TAVG,GHCND:USW00063891,",R",6.0
2015-01-01T00:00:00,TAVG,GHCND:USW00063892,",R",6.3
2015-01-01T00:00:00,TAVG,GHCND:USW00063893,",R",6.6
2015-01-01T00:00:00,TAVG,GHCND:USW00063894,",R",3.7
