date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:CA001206197,"1,C",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00500235,"1,7",-24.9
2015-01-01T00:00:00,TAVG,GHCND:USC00500237,",7",-13.3
2015-01-01T00:00:00,TAVG,GHCND:USC00500243,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00500247,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00500275,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00500281,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00500284,",7",-6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00500363,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00500464,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00500490,",7",-20.7
2015-01-01T00:00:00,TAVG,GHCND:USC00500657,"2,7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00500707,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00501220,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00501240,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00501684,",7",-28.0
2015-01-01T00:00:00,TAVG,GHCND:USC00501926,",7",-9.8
2015-01-01T00:00:00,TAVG,GHCND:USC00501987,",7",-24.7
2015-01-01T00:00:00,TAVG,GHCND:USC00502015,",7",-21.4
2015-01-01T00:00:00,TAVG,GHCND:USC00502084,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00502107,",7",-19.1
2015-01-01T00:00:00,TAVG,GHCND:USC00502173,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00502179,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00502227,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00502339,",7",-20.3
2015-01-01T00:00:00,TAVG,GHCND:USC00502350,",7",-19.1
2015-01-01T00:00:00,TAVG,GHCND:USC00502352,",7",-19.5
2015-01-01T00:00:00,TAVG,GHCND:USC00502568,"1,7",-20.6
2015-01-01T00:00:00,TAVG,GHCND:USC00502587,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00502607,",7",-21.0
2015-01-01T00:00:00,TAVG,GHCND:USC00502610,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00502645,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00502656,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00502870,",7",-20.6
2015-01-01T00:00:00,TAVG,GHCND:USC00502871,",7",-21.9
2015-01-01T00:00:00,TAVG,GHCND:USC00502965,",7",-22.4
2015-01-01T00:00:00,TAVG,GHCND:USC00503160,",7",-13.9
2015-01-01T00:00:00,TAVG,GHCND:USC00503181,"1,7",-18.0
2015-01-01T00:00:00,TAVG,GHCND:USC00503275,"1,7",-18.0
2015-01-01T00:00:00,TAVG,GHCND:USC00503294,"2,7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00503299,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00503304,",7",-18.4
2015-01-01T00:00:00,TAVG,GHCND:USC00503368,",7",-22.7
2015-01-01T00:00:00,TAVG,GHCND:USC00503502,",7",-1.2
