date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00020060,",7",10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00020080,",7",13.3
2015-01-01T00:00:00,TAVG,GHCND:USC00020100,"2,7",11.3
2015-01-01T00:00:00,TAVG,GHCND:USC00020159,"2,7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00020287,"2,7",10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00020288,"1,7",13.1
2015-01-01T00:00:00,TAVG,GHCND:USC00020404,",7",10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00020586,"2,7",8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00020672,",7",10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00020678,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00020683,",7",8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00020775,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00020808,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00020871,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00020949,",7",11.9
2015-01-01T00:00:00,TAVG,GHCND:USC00021001,",7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00021248,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00021314,"1,7",12.0
2015-01-01T00:00:00,TAVG,GHCND:USC00021330,",7",9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00021353,",7",13.6
2015-01-01T00:00:00,TAVG,GHCND:USC00021357,",7",10.3
2015-01-01T00:00:00,TAVG,GHCND:USC00021654,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00022109,",7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00022140,",7",7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00022480,",7",12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00022527,"1,7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00022659,"2,7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00022754,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00022782,",7",13.3
2015-01-01T00:00:00,TAVG,GHCND:USC00023150,",7",7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00023160,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00023190,"1,7",13.4
2015-01-01T00:00:00,TAVG,GHCND:USC00023501,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00023582,",7",1.8
