date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00030064,"4,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00030130,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00030220,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00030240,"1,7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00030286,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00030458,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00030460,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00030536,"1,7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00030582,",7",4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00030664,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00030764,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00030798,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00030832,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00030936,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00031102,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00031132,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00031140,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00031152,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00031191,"1,7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00031457,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00031596,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00031632,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00031730,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00031838,",7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00031910,"1,7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00031948,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00031962,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00031968,"2,7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00032148,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00032355,"2,7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00032366,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00032400,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00032444,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00032540,",7",4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00032794,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00032930,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00032978,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00033132,",7",1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00033242,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00033428,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00033466,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00033734,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00033821,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00033862,"1,7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00033909,",7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00034106,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00034185,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00034528,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00034548,"1,7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00034562,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00034572,"1,7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00034625,",Z",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00034638,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00034666,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00034711,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00034756,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00034938,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00035018,"1,7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00035036,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00035046,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00035079,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00035112,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00035186,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00035189,",W",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00035200,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00035512,"1,7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00035563,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00035754,",7",4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00035820,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00035831,"5,7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00035866,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00035908,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00036174,"1,7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00036376,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00036403,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00036506,"1,7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00036562,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00036768,"1,7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00036920,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00036928,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00037488,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00037712,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00037963,"1,7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00038052,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000ABNV,",U",4.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000ADVK,",U",2.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000AJES,",U",3.6
