date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00040136,",7",13.7
2015-01-01T00:00:00,TAVG,GHCND:USC00040176,"2,7",13.2
2015-01-01T00:00:00,TAVG,GHCND:USC00040192,",7",17.4
2015-01-01T00:00:00,TAVG,GHCND:USC00040212,",7",11.5
2015-01-01T00:00:00,TAVG,GHCND:USC00040232,"1,7",9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00040343,"4,7",10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00040379,",7",8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00040444,",7",9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00040449,"1,7",9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00040503,"1,7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00040521,",7",9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00040673,",7",12.3
2015-01-01T00:00:00,TAVG,GHCND:USC00040693,",7",12.2
2015-01-01T00:00:00,TAVG,GHCND:USC00040738,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00040741,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00040790,",7",13.5
2015-01-01T00:00:00,TAVG,GHCND:USC00040931,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00040943,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00040983,",7",15.4
2015-01-01T00:00:00,TAVG,GHCND:USC00041018,"2,7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00041072,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00041214,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00041244,"2,7",9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00041253,",7",11.3
2015-01-01T00:00:00,TAVG,GHCND:USC00041277,"3,7",7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00041312,",7",11.9
2015-01-01T00:00:00,TAVG,GHCND:USC00041316,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00041424,",7",10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00041497,",7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00041534,",7",13.1
2015-01-01T00:00:00,TAVG,GHCND:USC00041614,"1,7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00041697,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00041700,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00041738,",7",12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00041758,",7",15.6
2015-01-01T00:00:00,TAVG,GHCND:USC00041838,",7",12.1
2015-01-01T00:00:00,TAVG,GHCND:USC00041864,",7",9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00041912,",7",11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00041948,",7",9.2
2015-01-01T00:00:00,TAVG,GHCND:USC00041967,",7",10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00041990,"2,7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00042012,",7",8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00042214,",7",16.0
2015-01-01T00:00:00,TAVG,GHCND:USC00042239,"1,7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00042294,",7",9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00042319,",7",13.8
2015-01-01T00:00:00,TAVG,GHCND:USC00042346,",7",8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00042402,"1,7",10.3
2015-01-01T00:00:00,TAVG,GHCND:USC00042467,",7",2.4
