date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00050109,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00050128,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00050214,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00050263,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00050306,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00050372,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00050454,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00050754,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00050756,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00050797,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00050825,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00050834,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00050848,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00050950,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00051060,",7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00051071,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00051121,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00051179,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00051186,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00051268,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00051294,",7",1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00051443,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00051528,"1,7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00051539,"2,7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00051564,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00051609,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00051660,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00051681,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00051713,",7",-12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00051743,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00051886,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00051932,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00051948,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00051959,"1,7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00051964,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00051977,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00051996,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00052184,"1,7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00052196,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00052223,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00052228,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00052281,",7",-6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00052286,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00052294,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00052441,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00052446,",7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00052494,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00052668,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00052761,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00052790,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00052816,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00052932,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00052947,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00052965,",7",-4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00053005,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00053006,"1,7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00053016,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00053116,"3,7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00053246,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00053258,"1,7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00053261,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00053307,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00053359,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00053387,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00053446,",7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00053486,",7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00053489,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00053496,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00053500,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00053530,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00053541,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00053553,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00053629,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00053652,",7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00053662,",7",-12.7
2015-01-01T00:00:00,TAVG,GHCND:USC00053867,",7",-5.2
