date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00060227,",7",-6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00060299,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00060808,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00060973,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00061762,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00063207,"1,7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00063420,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00065077,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00065445,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00065910,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00067958,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00067970,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00068138,"1,7",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00068330,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00069388,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USW00014707,",W",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USW00014740,",W",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USW00014752,",W",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USW00014758,",W",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USW00054734,",W",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USW00054767,",W",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USW00054788,",W",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USW00094702,",W",-2.3
2015-02-01T00:00:00,TAVG,GHCND:USC00060227,",7",-10.9
2015-02-01T00:00:00,TAVG,GHCND:USC00060299,",7",-11.0
2015-02-01T00:00:00,TAVG,GHCND:USC00060808,",7",-7.6
2015-02-01T00:00:00,TAVG,GHCND:USC00060973,",7",-9.8
2015-02-01T00:00:00,TAVG,GHCND:USC00061762,",7",-7.9
2015-02-01T00:00:00,TAVG,GHCND:USC00063207,",7",-6.2
2015-02-01T00:00:00,TAVG,GHCND:USC00063420,",7",-10.7
2015-02-01T00:00:00,TAVG,GHCND:USC00065077,",7",-7.7
2015-02-01T00:00:00,TAVG,GHCND:USC00065445,",7",-11.7
2015-02-01T00:00:00,TAVG,GHCND:USC00065910,",7",-7.7
2015-02-01T00:00:00,TAVG,GHCND:USC00067958,",7",-11.8
2015-02-01T00:00:00,TAVG,GHCND:USC00067970,",7",-7.6
2015-02-01T00:00:00,TAVG,GHCND:USC00068138,",7",-9.6
2015-02-01T00:00:00,TAVG,GHCND:USC00068330,",7",-9.3
2015-02-01T00:00:00,TAVG,GHCND:USC00069388,",7",-11.4
2015-02-01T00:00:00,TAVG,GHCND:USW00014707,",W",-7.6
2015-02-01T00:00:00,TAVG,GHCND:USW00014740,",W",-8.7
2015-02-01T00:00:00,TAVG,GHCND:USW00014752,",W",-8.3
2015-02-01T00:00:00,TAVG,GHCND:USW00014758,",W",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USW00054734,",W",-9.3
2015-02-01T00:00:00,TAVG,GHCND:USW00054767,",W",-9.5
2015-02-01T00:00:00,TAVG,GHCND:USW00054788,",W",-8.9
2015-02-01T00:00:00,TAVG,GHCND:USW00094702,",W",-6.6
2015-03-01T00:00:00,TAVG,GHCND:USC00060128,",7",-0.9
2015-03-01T00:00:00,TAVG,GHCND:USC00060227,",7",-2.3
2015-03-01T00:00:00,TAVG,GHCND:USC00060299,",7",-2.0
2015-03-01T00:00:00,TAVG,GHCND:USC00060808,",7",0.4
2015-03-01T00:00:00,TAVG,GHCND:USC00060973,",7",-1.0
2015-03-01T00:00:00,TAVG,GHCND:USC00061762,",7",0.6
2015-03-01T00:00:00,TAVG,GHCND:USC00063207,",7",1.0
2015-03-01T00:00:00,TAVG,GHCND:USC00063420,",7",-1.4
2015-03-01T00:00:00,TAVG,GHCND:USC00065077,",7",0.4
2015-03-01T00:00:00,TAVG,GHCND:USC00065445,",7",-3.5
2015-03-01T00:00:00,TAVG,GHCND:USC00065910,",7",0.3
2015-03-01T00:00:00,TAVG,GHCND:USC00067958,",7",-3.2
2015-03-01T00:00:00,TAVG,GHCND:USC00067970,",7",0.4
2015-03-01T00:00:00,TAVG,GHCND:USC00068138,",7",-1.1
2015-03-01T00:00:00,TAVG,GHCND:USC00068330,",7",-0.9
2015-03-01T00:00:00,TAVG,GHCND:USC00069388,",7",-2.2
2015-03-01T00:00:00,TAVG,GHCND:USW00014707,",W",-0.1
2015-03-01T00:00:00,TAVG,GHCND:USW00014740,",W",0.3
2015-03-01T00:00:00,TAVG,GHCND:USW00014752,",W",0.4
2015-03-01T00:00:00,TAVG,GHCND:USW00014758,",W",0.6
2015-03-01T00:00:00,TAVG,GHCND:USW00054734,",W",-0.5
2015-03-01T00:00:00,TAVG,GHCND:USW00054767,",W",-0.6
2015-03-01T00:00:00,TAVG,GHCND:USW00054788,",W",0.1
2015-03-01T00:00:00,TAVG,GHCND:USW00094702,",W",1.1
2015-04-01T00:00:00,TAVG,GHCND:USC00060227,",7",6.9
2015-04-01T00:00:00,TAVG,GHCND:USC00060299,",7",7.5
2015-04-01T00:00:00,TAVG,GHCND:USC00060808,",7",9.3
2015-04-01T00:00:00,TAVG,GHCND:USC00060973,",7",8.0
2015-04-01T00:00:00,TAVG,GHCND:USC00061762,",7",9.5
2015-04-01T00:00:00,TAVG,GHCND:USC00063207,",7",9.2
2015-04-01T00:00:00,TAVG,GHCND:USC00063420,",7",7.5
2015-04-01T00:00:00,TAVG,GHCND:USC00065077,",7",9.3
2015-04-01T00:00:00,TAVG,GHCND:USC00065445,",7",6.0
2015-04-01T00:00:00,TAVG,GHCND:USC00065910,",7",9.0
2015-04-01T00:00:00,TAVG,GHCND:USC00067958,",7",6.3
2015-04-01T00:00:00,TAVG,GHCND:USC00067970,",7",9.9
2015-04-01T00:00:00,TAVG,GHCND:USC00068138,",7",7.9
2015-04-01T00:00:00,TAVG,GHCND:USC00068330,",7",8.2
2015-04-01T00:00:00,TAVG,GHCND:USC00069388,",7",7.2
2015-04-01T00:00:00,TAVG,GHCND:USW00014707,",W",8.3
2015-04-01T00:00:00,TAVG,GHCND:USW00014740,",W",9.7
2015-04-01T00:00:00,TAVG,GHCND:USW00014752,",W",9.2
2015-04-01T00:00:00,TAVG,GHCND:USW00014758,"1,W",8.6
