date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00072730,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00079605,"1,7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000DPRI,"2,U",0.4
2015-01-01T00:00:00,TAVG,GHCND:USW00013764,",W",0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013781,",W",-0.9
2015-02-01T00:00:00,TAVG,GHCND:USC00072730,",7",-2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00079605,"3,7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000DPRI,"3,U",-2.6
2015-02-01T00:00:00,TAVG,GHCND:USW00013764,",W",-2.9
2015-02-01T00:00:00,TAVG,GHCND:USW00013781,",W",-4.0
2015-03-01T00:00:00,TAVG,GHCND:USC00072730,",7",5.1
2015-03-01T00:00:00,TAVG,GHCND:USC00079605,"3,7",3.5
2015-03-01T00:00:00,TAVG,GHCND:USW00013764,",W",4.8
2015-03-01T00:00:00,TAVG,GHCND:USW00013781,",W",3.3
2015-04-01T00:00:00,TAVG,GHCND:USC00072730,",7",13.3
2015-04-01T00:00:00,TAVG,GHCND:USC00079605,",7",12.0
2015-04-01T00:00:00,TAVG,GHCND:USW00013764,",W",12.5
2015-04-01T00:00:00,TAVG,GHCND:USW00013781,",W",12.2
2015-05-01T00:00:00,TAVG,GHCND:USC00072730,",7",20.7
2015-05-01T00:00:00,TAVG,GHCND:USC00079605,",7",19.7
2015-05-01T00:00:00,TAVG,GHCND:USW00013764,",W",20.1
2015-05-01T00:00:00,TAVG,GHCND:USW00013781,",W",20.1
2015-06-01T00:00:00,TAVG,GHCND:USC00072730,",7",23.5
2015-06-01T00:00:00,TAVG,GHCND:USC00079605,"1,7",22.5
2015-06-01T00:00:00,TAVG,GHCND:USW00013764,",W",23.3
2015-06-01T00:00:00,TAVG,GHCND:USW00013781,",W",22.8
2015-07-01T00:00:00,TAVG,GHCND:USC00072730,",7",25.3
2015-07-01T00:00:00,TAVG,GHCND:USC00079605,"1,7",25.0
2015-07-01T00:00:00,TAVG,GHCND:USW00013764,",W",25.0
2015-07-01T00:00:00,TAVG,GHCND:USW00013781,",W",24.9
2015-08-01T00:00:00,TAVG,GHCND:USC00072730,",7",24.6
2015-08-01T00:00:00,TAVG,GHCND:USC00079605,",7",25.0
2015-08-01T00:00:00,TAVG,GHCND:USW00013764,",W",23.9
2015-08-01T00:00:00,TAVG,GHCND:USW00013781,",W",24.3
2015-09-01T00:00:00,TAVG,GHCND:USC00072730,",7",22.7
2015-09-01T00:00:00,TAVG,GHCND:USC00079605,",7",22.4
2015-09-01T00:00:00,TAVG,GHCND:USW00013764,",W",22.4
2015-09-01T00:00:00,TAVG,GHCND:USW00013781,",W",22.5
2015-10-01T00:00:00,TAVG,GHCND:USC00072730,",7",14.5
2015-10-01T00:00:00,TAVG,GHCND:USC00079605,",7",13.5
2015-10-01T00:00:00,TAVG,GHCND:USW00013764,",W",13.7
2015-10-01T00:00:00,TAVG,GHCND:USW00013781,",W",13.2
2015-11-01T00:00:00,TAVG,GHCND:USC00072730,",7",11.7
2015-11-01T00:00:00,TAVG,GHCND:USC00079605,",7",10.9
2015-11-01T00:00:00,TAVG,GHCND:USW00013764,",W",11.3
2015-11-01T00:00:00,TAVG,GHCND:USW00013781,",W",10.4
2015-12-01T00:00:00,TAVG,GHCND:USC00072730,",7",11.1
2015-12-01T00:00:00,TAVG,GHCND:USC00079605,",7",10.1
2015-12-01T00:00:00,TAVG,GHCND:USW00013764,",W",11.2
2015-12-01T00:00:00,TAVG,GHCND:USW00013781,",W",9.6
2016-01-01T00:00:00,TAVG,GHCND:USC00072730,",7",1.8
2016-01-01T00:00:00,TAVG,GHCND:USC00079605,",7",-0.2
2016-01-01T00:00:00,TAVG,GHCND:USW00013764,",W",1.9
2016-01-01T00:00:00,TAVG,GHCND:USW00013781,",W",0.1
2016-02-01T00:00:00,TAVG,GHCND:USC00072730,",7",4.1
2016-02-01T00:00:00,TAVG,GHCND:USW00013764,",W",4.4
2016-02-01T00:00:00,TAVG,GHCND:USW00013781,",W",2.6
