date,datatype,station,attributes,value
2015-05-01T00:00:00,TAVG,GHCND:USC00080228,",7",25.1
2015-05-01T00:00:00,TAVG,GHCND:USC00080236,",7",25.0
2015-05-01T00:00:00,TAVG,GHCND:USC00080414,"1,7",26.6
2015-05-01T00:00:00,TAVG,GHCND:USC00080478,",7",28.3
2015-05-01T00:00:00,TAVG,GHCND:USC00080598,"2,7",23.7
2015-05-01T00:00:00,TAVG,GHCND:USC00080737,",7",25.2
2015-05-01T00:00:00,TAVG,GHCND:USC00080945,",7",26.3
2015-05-01T00:00:00,TAVG,GHCND:USC00080992,",7",25.3
2015-05-01T00:00:00,TAVG,GHCND:USC00081163,",7",24.9
2015-05-01T00:00:00,TAVG,GHCND:USC00081276,",7",26.7
2015-05-01T00:00:00,TAVG,GHCND:USC00081306,",7",27.3
2015-05-01T00:00:00,TAVG,GHCND:USC00081544,"1,7",24.5
2015-05-01T00:00:00,TAVG,GHCND:USC00081641,",7",26.5
2015-05-01T00:00:00,TAVG,GHCND:USC00081651,",7",25.9
2015-05-01T00:00:00,TAVG,GHCND:USC00082046,"1,7",27.1
2015-05-01T00:00:00,TAVG,GHCND:USC00082150,"1,7",26.3
2015-05-01T00:00:00,TAVG,GHCND:USC00082229,"1,7",24.4
2015-05-01T00:00:00,TAVG,GHCND:USC00082298,",7",25.0
2015-05-01T00:00:00,TAVG,GHCND:USC00082441,",7",26.8
2015-05-01T00:00:00,TAVG,GHCND:USC00082850,",7",25.8
2015-05-01T00:00:00,TAVG,GHCND:USC00082915,",7",24.6
2015-05-01T00:00:00,TAVG,GHCND:USC00082944,"1,7",24.9
2015-05-01T00:00:00,TAVG,GHCND:USC00083020,",7",25.7
2015-05-01T00:00:00,TAVG,GHCND:USC00083153,"1,7",25.7
2015-05-01T00:00:00,TAVG,GHCND:USC00083163,",7",26.2
2015-05-01T00:00:00,TAVG,GHCND:USC00083168,",7",26.5
2015-05-01T00:00:00,TAVG,GHCND:USC00083207,"2,7",25.4
2015-05-01T00:00:00,TAVG,GHCND:USC00083470,",7",23.5
2015-05-01T00:00:00,TAVG,GHCND:USC00083874,",7",23.0
2015-05-01T00:00:00,TAVG,GHCND:USC00083909,",7",26.7
