date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00090140,",7",8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00090181,"1,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00090236,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00090311,",7",6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00090670,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00090969,"1,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00091266,",7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00091340,"1,7",11.0
2015-01-01T00:00:00,TAVG,GHCND:USC00091463,",7",9.3
2015-01-01T00:00:00,TAVG,GHCND:USC00091500,",7",7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00091640,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00091732,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00091908,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00091965,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00091982,",7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00092159,"3,7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00092180,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00092266,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00092283,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00092361,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00092450,"2,7",7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00092738,",7",10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00092966,",7",8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00093060,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00093465,",7",12.6
2015-01-01T00:00:00,TAVG,GHCND:USC00093538,",7",10.9
2015-01-01T00:00:00,TAVG,GHCND:USC00093658,"1,7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00093675,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00093754,"2,7",8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00094133,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00094138,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00094204,"2,7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00094230,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00094429,",7",9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00095061,"5,7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00095492,",7",9.3
2015-01-01T00:00:00,TAVG,GHCND:USC00095863,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00096087,",7",9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00096219,",7",8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00096838,",7",9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00097171,"1,7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00097528,",7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00097808,",7",10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00098666,",7",9.8
2015-01-01T00:00:00,TAVG,GHCND:USC00098703,",7",8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00098740,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00098974,"1,7",9.8
2015-01-01T00:00:00,TAVG,GHCND:USC00099194,",7",6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00099486,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00099502,",7",10.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000GARM,"2,U",4.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000GATH,",U",5.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GBAX,",U",9.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000GBRA,",U",2.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GBRE,",U",6.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000GBYR,",U",7.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCAM,",U",4.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCHA,",U",4.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCHS,",U",3.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCML,",U",9.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCOH,",U",3.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000GCOO,",U",10.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000GDAL,",U",4.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000GDAW,",U",4.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000GJON,",U",12.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000GLOU,",U",7.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000GMCI,",U",7.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000GMCR,",U",8.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GMET,",U",8.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GMID,",U",10.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000GNEW,",U",5.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GOCO,",U",6.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000GPLA,",U",8.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000GSTA,"2,U",10.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GSTE,",U",10.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000GTAL,",U",4.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000GTOC,",U",2.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000GWAS,",U",6.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000GWAY,"2,U",10.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000SSAV,",U",10.2
2015-01-01T00:00:00,TAVG,GHCND:USW00003813,",W",6.8
2015-01-01T00:00:00,TAVG,GHCND:USW00003820,",W",6.7
2015-01-01T00:00:00,TAVG,GHCND:USW00003822,",W",9.8
2015-01-01T00:00:00,TAVG,GHCND:USW00003888,",W",5.3
2015-01-01T00:00:00,TAVG,GHCND:USW00013837,",W",8.4
2015-01-01T00:00:00,TAVG,GHCND:USW00013869,",W",9.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013870,",W",9.7
2015-01-01T00:00:00,TAVG,GHCND:USW00013873,",W",5.6
2015-01-01T00:00:00,TAVG,GHCND:USW00013874,",W",6.2
2015-01-01T00:00:00,TAVG,GHCND:USW00013878,",W",11.1
2015-01-01T00:00:00,TAVG,GHCND:USW00053819,",W",5.4
2015-01-01T00:00:00,TAVG,GHCND:USW00053838,",W",5.1
2015-01-01T00:00:00,TAVG,GHCND:USW00053863,",W",4.8
2015-01-01T00:00:00,TAVG,GHCND:USW00053873,",W",4.3
2015-01-01T00:00:00,TAVG,GHCND:USW00063828,",R",8.4
2015-01-01T00:00:00,TAVG,GHCND:USW00063829,",R",9.1
2015-01-01T00:00:00,TAVG,GHCND:USW00063850,",R",5.5
2015-01-01T00:00:00,TAVG,GHCND:USW00063856,",R",11.2
2015-01-01T00:00:00,TAVG,GHCND:USW00093801,",W",4.4
2015-01-01T00:00:00,TAVG,GHCND:USW00093842,",W",7.7
2015-01-01T00:00:00,TAVG,GHCND:USW00093845,",W",10.8
2015-02-01T00:00:00,TAVG,GHCND:USC00090140,",7",7.2
2015-02-01T00:00:00,TAVG,GHCND:USC00090181,",7",2.2
2015-02-01T00:00:00,TAVG,GHCND:USC00090236,",7",2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00090311,",7",5.6
2015-02-01T00:00:00,TAVG,GHCND:USC00090670,"1,7",7.7
2015-02-01T00:00:00,TAVG,GHCND:USC00090969,",7",-0.5
2015-02-01T00:00:00,TAVG,GHCND:USC00091266,"1,7",7.4
2015-02-01T00:00:00,TAVG,GHCND:USC00091340,",7",9.5
2015-02-01T00:00:00,TAVG,GHCND:USC00091463,"1,7",8.2
2015-02-01T00:00:00,TAVG,GHCND:USC00091500,",7",6.8
2015-02-01T00:00:00,TAVG,GHCND:USC00091640,",7",3.5
2015-02-01T00:00:00,TAVG,GHCND:USC00091665,"4,7",2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00091732,",7",3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00091908,",7",1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00091965,",7",1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00091982,",7",1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00092180,",7",2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00092266,",7",7.0
2015-02-01T00:00:00,TAVG,GHCND:USC00092283,",7",1.6
2015-02-01T00:00:00,TAVG,GHCND:USC00092361,",7",7.4
2015-02-01T00:00:00,TAVG,GHCND:USC00092450,"4,7",7.0
2015-02-01T00:00:00,TAVG,GHCND:USC00092738,",7",9.1
2015-02-01T00:00:00,TAVG,GHCND:USC00092966,",7",8.8
2015-02-01T00:00:00,TAVG,GHCND:USC00093060,",7",3.1
2015-02-01T00:00:00,TAVG,GHCND:USC00093465,"1,7",11.5
2015-02-01T00:00:00,TAVG,GHCND:USC00093538,",7",9.8
2015-02-01T00:00:00,TAVG,GHCND:USC00093658,",7",6.0
2015-02-01T00:00:00,TAVG,GHCND:USC00093675,",7",-0.2
2015-02-01T00:00:00,TAVG,GHCND:USC00094133,",7",3.0
2015-02-01T00:00:00,TAVG,GHCND:USC00094138,",7",4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00094204,"1,7",7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00094230,"3,7",1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00094429,",7",8.2
2015-02-01T00:00:00,TAVG,GHCND:USC00095061,"1,7",7.7
2015-02-01T00:00:00,TAVG,GHCND:USC00095492,"1,7",8.7
2015-02-01T00:00:00,TAVG,GHCND:USC00095863,",7",6.6
2015-02-01T00:00:00,TAVG,GHCND:USC00096087,",7",8.5
2015-02-01T00:00:00,TAVG,GHCND:USC00096219,",7",7.9
2015-02-01T00:00:00,TAVG,GHCND:USC00096838,"2,7",8.8
2015-02-01T00:00:00,TAVG,GHCND:USC00097171,"1,7",7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00097528,",7",6.3
2015-02-01T00:00:00,TAVG,GHCND:USC00097808,",7",9.9
2015-02-01T00:00:00,TAVG,GHCND:USC00098666,",7",9.2
2015-02-01T00:00:00,TAVG,GHCND:USC00098703,",7",7.9
2015-02-01T00:00:00,TAVG,GHCND:USC00098740,",7",3.5
2015-02-01T00:00:00,TAVG,GHCND:USC00098974,"4,7",9.2
2015-02-01T00:00:00,TAVG,GHCND:USC00099194,",7",6.2
2015-02-01T00:00:00,TAVG,GHCND:USC00099486,",7",3.6
2015-02-01T00:00:00,TAVG,GHCND:USC00099502,"1,7",9.6
2015-02-01T00:00:00,TAVG,GHCND:USR0000GARM,",U",1.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000GATH,",U",4.4
2015-02-01T00:00:00,TAVG,GHCND:USR0000GBAX,",U",8.4
2015-02-01T00:00:00,TAVG,GHCND:USR0000GBRA,",U",0.0
2015-02-01T00:00:00,TAVG,GHCND:USR0000GBRE,",U",6.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GBYR,",U",7.5
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCAM,",U",2.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCHA,"2,U",2.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCHS,",U",2.4
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCML,",U",9.3
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCOH,"2,U",1.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GCOO,"2,U",9.4
2015-02-01T00:00:00,TAVG,GHCND:USR0000GDAL,",U",3.2
2015-02-01T00:00:00,TAVG,GHCND:USR0000GDAW,"2,U",2.9
2015-02-01T00:00:00,TAVG,GHCND:USR0000GJON,"2,U",10.9
2015-02-01T00:00:00,TAVG,GHCND:USR0000GLOU,",U",6.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000GMCI,"2,U",6.6
2015-02-01T00:00:00,TAVG,GHCND:USR0000GMCR,",U",7.9
2015-02-01T00:00:00,TAVG,GHCND:USR0000GMET,",U",7.9
2015-02-01T00:00:00,TAVG,GHCND:USR0000GMID,",U",8.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000GNEW,",U",4.7
2015-02-01T00:00:00,TAVG,GHCND:USR0000GOCO,",U",5.7
2015-02-01T00:00:00,TAVG,GHCND:USR0000GPLA,",U",7.7
2015-02-01T00:00:00,TAVG,GHCND:USR0000GSTA,",U",9.6
2015-02-01T00:00:00,TAVG,GHCND:USR0000GSTE,",U",9.0
2015-02-01T00:00:00,TAVG,GHCND:USR0000GTAL,",U",2.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GTOC,",U",0.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GWAS,",U",5.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000GWAY,"2,U",9.3
2015-02-01T00:00:00,TAVG,GHCND:USR0000SSAV,",U",8.8
2015-02-01T00:00:00,TAVG,GHCND:USW00003813,",W",6.5
2015-02-01T00:00:00,TAVG,GHCND:USW00003820,",W",6.0
2015-02-01T00:00:00,TAVG,GHCND:USW00003822,",W",8.5
2015-02-01T00:00:00,TAVG,GHCND:USW00003888,",W",3.8
2015-02-01T00:00:00,TAVG,GHCND:USW00013837,",W",7.5
2015-02-01T00:00:00,TAVG,GHCND:USW00013869,",W",8.7
2015-02-01T00:00:00,TAVG,GHCND:USW00013870,",W",8.7
2015-02-01T00:00:00,TAVG,GHCND:USW00013873,",W",4.6
2015-02-01T00:00:00,TAVG,GHCND:USW00013874,",W",4.7
