date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00100010,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00100218,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00100375,",7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00100470,"2,7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00100667,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00100774,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00100803,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00100915,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00101017,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00101018,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00101079,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00101220,"1,7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00101363,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00101408,"2,7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00101514,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00101671,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00102159,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00102260,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00102392,"3,7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00102577,"2,7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00102667,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00102676,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00102707,",7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00102845,"1,7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00102942,"1,7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00103108,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00103143,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00103297,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00103448,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00103732,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00103932,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00103964,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00104140,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00104154,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00104318,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00104384,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00104455,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00104456,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00104598,"2,7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00104670,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00104793,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00104831,"3,7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00104845,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00105143,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00105177,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00105275,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00105462,"1,7",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00105567,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00105678,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00105685,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00105708,",7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00105716,"3,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00105980,"5,7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00106080,",7",-6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00106152,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00106250,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00106388,"2,7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00106424,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00106542,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00106877,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00106891,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00107040,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00107046,"1,7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00107188,",7",0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00107208,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00107210,",7",-0.3
