date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00140010,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00140200,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00140365,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00140439,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00140482,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00140682,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00140693,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00140810,",7",0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00140865,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00140957,",7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00141029,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00141179,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00141351,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00141383,"1,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00141428,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00141435,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00141522,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00141559,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00141673,",7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00141699,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00141704,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00141740,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00141761,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00141858,"1,7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00141867,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00141874,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00142401,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00142432,",7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00142459,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00142548,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00142602,",7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00142622,",7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00142835,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00142881,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00142980,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00143008,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00143074,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00143239,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00143527,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00143545,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00143554,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00143594,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00143634,"2,7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00143665,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00143759,"1,7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00143810,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00143822,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00143837,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00143847,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00143867,",7",-0.6
