date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00170217,",7",-12.1
2015-01-01T00:00:00,TAVG,GHCND:USC00170409,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00170480,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00170583,"1,7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00170814,",7",-13.8
2015-01-01T00:00:00,TAVG,GHCND:USC00170833,",7",-13.2
2015-01-01T00:00:00,TAVG,GHCND:USC00170844,",7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00171131,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00171628,",7",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00171975,",7",-11.7
2015-01-01T00:00:00,TAVG,GHCND:USC00172048,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00172440,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00172443,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00172700,",7",-13.8
2015-01-01T00:00:00,TAVG,GHCND:USC00172765,",7",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00172878,",7",-15.2
2015-01-01T00:00:00,TAVG,GHCND:USC00173046,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00173261,"1,7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00173295,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00173567,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00173570,",7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00173862,",7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00173944,",7",-11.5
2015-01-01T00:00:00,TAVG,GHCND:USC00174086,",7",-14.8
2015-01-01T00:00:00,TAVG,GHCND:USC00174193,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00174550,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00174683,",7",-11.7
2015-01-01T00:00:00,TAVG,GHCND:USC00174745,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00174878,"1,7",-10.3
2015-01-01T00:00:00,TAVG,GHCND:USC00174927,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00175305,",7",-12.4
2015-01-01T00:00:00,TAVG,GHCND:USC00175460,",7",-13.1
2015-01-01T00:00:00,TAVG,GHCND:USC00175675,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00175736,",7",-10.3
2015-01-01T00:00:00,TAVG,GHCND:USC00176707,",7",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00176721,",7",-13.9
2015-01-01T00:00:00,TAVG,GHCND:USC00176856,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00176881,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00176937,",7",-11.9
2015-01-01T00:00:00,TAVG,GHCND:USC00177037,",7",-14.1
2015-01-01T00:00:00,TAVG,GHCND:USC00177039,",7",-13.9
2015-01-01T00:00:00,TAVG,GHCND:USC00177238,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00177336,",7",-11.5
2015-01-01T00:00:00,TAVG,GHCND:USC00177479,"1,7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00178792,",7",-11.1
2015-01-01T00:00:00,TAVG,GHCND:USC00178817,",7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00178965,",7",-15.1
2015-01-01T00:00:00,TAVG,GHCND:USC00178998,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00179151,"1,7",-9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00179295,",7",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00179593,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00179720,",7",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00179891,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000MMCF,"2,U",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000MMOO,"2,U",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000MRCA,",U",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000MSUN,"2,U",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USW00004836,",W",-14.2
2015-01-01T00:00:00,TAVG,GHCND:USW00014605,",W",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USW00014606,",W",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USW00014607,",W",-13.0
