date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00180700,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00181125,"1,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00181790,",Z",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00182060,",Z",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00182282,",7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00182308,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00182325,"1,7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00182336,",7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00182906,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00183415,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00185111,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00185865,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00185934,",7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00186620,",7",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00186800,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00187806,",7",0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00188004,"2,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00188207,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00188380,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00188557,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00189070,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00460527,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000MBLA,",U",1.0
2015-01-01T00:00:00,TAVG,GHCND:USW00003757,"1,W",1.7
2015-01-01T00:00:00,TAVG,GHCND:USW00013701,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USW00013721,",W",0.8
2015-01-01T00:00:00,TAVG,GHCND:USW00013752,",W",0.5
2015-01-01T00:00:00,TAVG,GHCND:USW00093706,",W",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USW00093720,",W",2.3
2015-01-01T00:00:00,TAVG,GHCND:USW00093721,",W",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USW00093784,",W",0.5
2015-01-01T00:00:00,TAVG,GHCND:USW00093786,",W",1.4
2015-02-01T00:00:00,TAVG,GHCND:USC00180700,",7",-3.6
2015-02-01T00:00:00,TAVG,GHCND:USC00181125,",7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00181790,",Z",-4.9
2015-02-01T00:00:00,TAVG,GHCND:USC00182060,",7",-6.2
2015-02-01T00:00:00,TAVG,GHCND:USC00182282,",7",-4.3
2015-02-01T00:00:00,TAVG,GHCND:USC00182308,",7",-4.3
2015-02-01T00:00:00,TAVG,GHCND:USC00182325,"1,7",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00182336,",7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00182906,",7",-5.5
2015-02-01T00:00:00,TAVG,GHCND:USC00183415,",7",-8.1
2015-02-01T00:00:00,TAVG,GHCND:USC00185111,",7",-3.1
2015-02-01T00:00:00,TAVG,GHCND:USC00185865,",7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00185934,",7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00186620,",7",-7.4
2015-02-01T00:00:00,TAVG,GHCND:USC00186800,",7",-2.6
2015-02-01T00:00:00,TAVG,GHCND:USC00187806,",7",-2.2
2015-02-01T00:00:00,TAVG,GHCND:USC00188004,"4,7",0.0
2015-02-01T00:00:00,TAVG,GHCND:USC00188065,"3,7",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USC00188207,",7",-5.5
2015-02-01T00:00:00,TAVG,GHCND:USC00188380,",7",-1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00188557,",7",-3.4
2015-02-01T00:00:00,TAVG,GHCND:USC00189070,",7",-3.4
2015-02-01T00:00:00,TAVG,GHCND:USC00460527,",7",-8.4
2015-02-01T00:00:00,TAVG,GHCND:USR0000MBLA,",U",-2.4
2015-02-01T00:00:00,TAVG,GHCND:USW00003757,",W",-1.8
