date,datatype,station,attributes,value
2015-05-01T00:00:00,TAVG,GHCND:USC00190120,",7",17.2
2015-05-01T00:00:00,TAVG,GHCND:USC00190190,",7",15.7
2015-05-01T00:00:00,TAVG,GHCND:USC00190192,",7",14.9
2015-05-01T00:00:00,TAVG,GHCND:USC00190214,",7",15.5
2015-05-01T00:00:00,TAVG,GHCND:USC00190408,",7",15.5
2015-05-01T00:00:00,TAVG,GHCND:USC00190562,",7",16.6
2015-05-01T00:00:00,TAVG,GHCND:USC00190593,"1,7",15.9
2015-05-01T00:00:00,TAVG,GHCND:USC00190666,",7",16.1
2015-05-01T00:00:00,TAVG,GHCND:USC00190736,",7",16.9
2015-05-01T00:00:00,TAVG,GHCND:USC00190840,",7",15.7
2015-05-01T00:00:00,TAVG,GHCND:USC00190860,",7",17.2
2015-05-01T00:00:00,TAVG,GHCND:USC00190998,",7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00191386,",7",13.8
2015-05-01T00:00:00,TAVG,GHCND:USC00192107,",7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00192372,",7",15.5
2015-05-01T00:00:00,TAVG,GHCND:USC00192451,",7",15.3
2015-05-01T00:00:00,TAVG,GHCND:USC00192501,",7",15.1
2015-05-01T00:00:00,TAVG,GHCND:USC00192913,"3,7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00193229,",7",16.7
2015-05-01T00:00:00,TAVG,GHCND:USC00193276,",7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00193505,",7",16.0
2015-05-01T00:00:00,TAVG,GHCND:USC00193624,",7",17.4
2015-05-01T00:00:00,TAVG,GHCND:USC00193821,",7",15.4
2015-05-01T00:00:00,TAVG,GHCND:USC00193890,",7",17.9
2015-05-01T00:00:00,TAVG,GHCND:USC00194105,",7",17.2
2015-05-01T00:00:00,TAVG,GHCND:USC00194131,",7",16.6
2015-05-01T00:00:00,TAVG,GHCND:USC00194154,",7",17.4
2015-05-01T00:00:00,TAVG,GHCND:USC00194313,",7",16.8
2015-05-01T00:00:00,TAVG,GHCND:USC00194502,"1,7",16.6
2015-05-01T00:00:00,TAVG,GHCND:USC00194711,",7",15.6
2015-05-01T00:00:00,TAVG,GHCND:USC00194744,"1,7",17.5
2015-05-01T00:00:00,TAVG,GHCND:USC00195285,",7",16.1
2015-05-01T00:00:00,TAVG,GHCND:USC00195984,",7",16.3
2015-05-01T00:00:00,TAVG,GHCND:USC00196486,"1,7",16.8
2015-05-01T00:00:00,TAVG,GHCND:USC00196783,",7",16.7
2015-05-01T00:00:00,TAVG,GHCND:USC00196938,"1,7",16.4
2015-05-01T00:00:00,TAVG,GHCND:USC00198368,",7",17.1
2015-05-01T00:00:00,TAVG,GHCND:USC00198573,",7",17.6
2015-05-01T00:00:00,TAVG,GHCND:USC00198757,",7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00199193,",7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00199891,"4,7",14.6
2015-05-01T00:00:00,TAVG,GHCND:USC00199972,",7",15.5
2015-05-01T00:00:00,TAVG,GHCND:USR0000MCAP,",U",15.6
2015-05-01T00:00:00,TAVG,GHCND:USW00004780,",W",17.9
2015-05-01T00:00:00,TAVG,GHCND:USW00014702,"3,W",16.7
2015-05-01T00:00:00,TAVG,GHCND:USW00014739,",W",16.8
2015-05-01T00:00:00,TAVG,GHCND:USW00014753,",W",16.8
2015-05-01T00:00:00,TAVG,GHCND:USW00014756,",W",13.7
2015-05-01T00:00:00,TAVG,GHCND:USW00014763,",W",15.9
2015-05-01T00:00:00,TAVG,GHCND:USW00014775,",W",18.2
2015-05-01T00:00:00,TAVG,GHCND:USW00054704,",W",16.4
2015-05-01T00:00:00,TAVG,GHCND:USW00054733,",W",16.0
2015-05-01T00:00:00,TAVG,GHCND:USW00054756,",W",16.3
2015-05-01T00:00:00,TAVG,GHCND:USW00054768,",W",16.4
2015-05-01T00:00:00,TAVG,GHCND:USW00054769,",W",15.9
2015-05-01T00:00:00,TAVG,GHCND:USW00054777,",W",16.4
2015-05-01T00:00:00,TAVG,GHCND:USW00094624,",W",14.1
2015-05-01T00:00:00,TAVG,GHCND:USW00094720,",W",15.0
2015-05-01T00:00:00,TAVG,GHCND:USW00094723,",W",17.1
2015-05-01T00:00:00,TAVG,GHCND:USW00094726,",W",15.9
2015-05-01T00:00:00,TAVG,GHCND:USW00094746,",W",17.0
2015-06-01T00:00:00,TAVG,GHCND:USC00190120,",7",18.0
2015-06-01T00:00:00,TAVG,GHCND:USC00190190,",7",16.4
2015-06-01T00:00:00,TAVG,GHCND:USC00190192,"1,7",16.0
2015-06-01T00:00:00,TAVG,GHCND:USC00190214,",7",16.4
2015-06-01T00:00:00,TAVG,GHCND:USC00190408,",7",16.4
2015-06-01T00:00:00,TAVG,GHCND:USC00190562,",7",17.4
2015-06-01T00:00:00,TAVG,GHCND:USC00190593,"2,7",16.6
2015-06-01T00:00:00,TAVG,GHCND:USC00190666,",7",17.2
2015-06-01T00:00:00,TAVG,GHCND:USC00190736,",7",18.0
2015-06-01T00:00:00,TAVG,GHCND:USC00190840,",7",16.9
2015-06-01T00:00:00,TAVG,GHCND:USC00190860,",7",18.4
2015-06-01T00:00:00,TAVG,GHCND:USC00190998,",7",17.4
2015-06-01T00:00:00,TAVG,GHCND:USC00191386,",7",16.2
2015-06-01T00:00:00,TAVG,GHCND:USC00192107,",7",17.2
2015-06-01T00:00:00,TAVG,GHCND:USC00192372,",7",16.8
2015-06-01T00:00:00,TAVG,GHCND:USC00192451,"1,7",18.1
2015-06-01T00:00:00,TAVG,GHCND:USC00192501,",7",18.1
2015-06-01T00:00:00,TAVG,GHCND:USC00192913,",7",17.8
