date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00200032,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00200089,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00200094,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00200146,",7",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00200197,",7",-12.4
2015-01-01T00:00:00,TAVG,GHCND:USC00200228,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00200230,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00200342,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00200361,"5,7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00200417,"1,7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00200446,"1,7",-8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00200495,",7",-9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00200497,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00200552,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00200710,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00200718,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00200758,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00200770,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00200779,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00200864,"1,7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00200925,",7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00201150,"1,7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00201178,"1,7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00201250,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00201299,"1,7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00201435,",7",-12.6
2015-01-01T00:00:00,TAVG,GHCND:USC00201468,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00201476,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00201486,",7",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00201492,",7",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00201502,"1,7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00201675,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00201818,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00201896,"1,7",-9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00202015,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00202016,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00202094,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00202250,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00202308,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00202382,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00202423,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00202437,"4,7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00202598,",7",-11.4
2015-01-01T00:00:00,TAVG,GHCND:USC00202691,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00202783,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00202851,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00202984,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00203025,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203078,",7",-10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00203096,",7",-11.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203099,",7",-9.4
2015-01-01T00:00:00,TAVG,GHCND:USC00203188,",7",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00203278,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00203295,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00203391,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00203421,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00203429,",7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00203477,"1,7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203529,"2,7",-9.2
2015-01-01T00:00:00,TAVG,GHCND:USC00203585,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203628,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00203632,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203661,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00203744,",7",-12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00203823,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00203932,",7",-9.4
