date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00168163,",7",7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00220021,"2,7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00220290,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00220585,",7",8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00220660,"6,7",4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00220792,",7",10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00220955,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00221094,"2,7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00221707,"3,7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00221738,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00221852,"1,7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00221865,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00221880,"1,7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00221962,"2,7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00222385,",7",8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00222510,",7",4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00223208,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00223605,"1,7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00223920,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00223975,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00224001,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00224377,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00224776,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00224869,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00225165,"1,7",9.2
2015-01-01T00:00:00,TAVG,GHCND:USC00225247,",7",7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00225361,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00225705,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00225987,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00226009,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00226177,",7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00226308,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00226476,"2,7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00226527,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00226638,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00226718,",7",8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00226894,",7",6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00227111,"1,7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00227128,"1,7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00227132,",7",6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00227276,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00227560,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00227815,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00227840,",7",10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00228374,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00228445,"2,7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00228998,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00229004,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00229079,"1,7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00229173,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00229230,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00229400,"4,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00229426,",7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00229439,",7",8.3
