date,datatype,station,attributes,value
2015-05-01T00:00:00,TAVG,GHCND:USC00230051,",7",16.3
2015-05-01T00:00:00,TAVG,GHCND:USC00230143,",7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00230163,",7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00230204,",7",18.0
2015-05-01T00:00:00,TAVG,GHCND:USC00230304,",7",18.7
2015-05-01T00:00:00,TAVG,GHCND:USC00230360,"2,7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00230368,",7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00230542,"1,7",18.4
2015-05-01T00:00:00,TAVG,GHCND:USC00230608,"2,7",15.7
2015-05-01T00:00:00,TAVG,GHCND:USC00230657,",7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00230789,",7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00230824,"2,7",18.1
2015-05-01T00:00:00,TAVG,GHCND:USC00230856,"1,7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00230887,"4,7",19.1
2015-05-01T00:00:00,TAVG,GHCND:USC00230980,",7",17.2
2015-05-01T00:00:00,TAVG,GHCND:USC00231037,"5,7",17.4
2015-05-01T00:00:00,TAVG,GHCND:USC00231087,",7",18.2
2015-05-01T00:00:00,TAVG,GHCND:USC00231189,",7",18.4
2015-05-01T00:00:00,TAVG,GHCND:USC00231275,",7",17.8
2015-05-01T00:00:00,TAVG,GHCND:USC00231340,",7",17.8
2015-05-01T00:00:00,TAVG,GHCND:USC00231580,",7",17.3
2015-05-01T00:00:00,TAVG,GHCND:USC00231640,"1,7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00231674,"2,7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00231711,"3,7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00231748,",7",17.6
2015-05-01T00:00:00,TAVG,GHCND:USC00231801,",7",18.9
2015-05-01T00:00:00,TAVG,GHCND:USC00231822,",7",15.9
2015-05-01T00:00:00,TAVG,GHCND:USC00231924,",7",16.6
2015-05-01T00:00:00,TAVG,GHCND:USC00232240,",7",18.5
2015-05-01T00:00:00,TAVG,GHCND:USC00232289,",7",19.4
2015-05-01T00:00:00,TAVG,GHCND:USC00232302,",7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00232318,",7",16.8
2015-05-01T00:00:00,TAVG,GHCND:USC00232503,"1,7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00232511,",7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00232568,",7",17.4
2015-05-01T00:00:00,TAVG,GHCND:USC00232591,",7",19.4
2015-05-01T00:00:00,TAVG,GHCND:USC00232619,",7",19.3
2015-05-01T00:00:00,TAVG,GHCND:USC00232700,"2,7",18.8
2015-05-01T00:00:00,TAVG,GHCND:USC00232850,",7",19.2
2015-05-01T00:00:00,TAVG,GHCND:USC00232981,",7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00233038,"1,7",18.1
2015-05-01T00:00:00,TAVG,GHCND:USC00233043,"2,7",17.8
