date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00240056,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00240075,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00240088,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00240111,",7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00240743,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00240770,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00240775,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00240780,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00240801,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00240802,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00241008,"4,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00241044,"1,7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00241047,"3,7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00241081,"1,7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00241084,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00241088,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00241102,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00241127,"2,7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00241169,"1,7",-5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00241297,"1,7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00241342,"3,7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00241518,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00241552,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00241692,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00241722,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00241730,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00241737,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00241738,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00241758,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00241875,",7",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00241905,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00241938,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00241974,"1,7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00241984,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00242104,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00242122,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00242221,"1,7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00242275,"2,7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00242409,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00242550,",7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00242629,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00242689,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00242738,",7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00242793,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00242827,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00242857,"1,7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00243013,"3,7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00243098,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00243110,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00243113,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00243118,"1,7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00243176,"4,7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00243378,"1,7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00243486,"1,7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00243489,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00243530,"1,7",-6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00243557,"1,7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00243581,"1,7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00243617,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00243727,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00243749,",7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00243753,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00243885,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00243915,"2,7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00243939,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00243947,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00244133,"1,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00244174,"2,7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00244241,"1,7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00244328,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00244345,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00244358,",7",-3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00244386,"2,7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00244506,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00244512,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00244522,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00244538,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00244545,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00244558,",W",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00244896,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00244954,"1,7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00244978,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00244979,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245011,"1,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245015,"1,7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00245020,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245043,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00245080,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00245123,",7",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00245153,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245334,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00245338,",7",-6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00245340,",7",-5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00245596,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00245603,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00245668,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00245712,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245740,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00245754,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00245761,"1,7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00245870,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00245872,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00245961,"1,7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00246007,"1,7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00246157,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00246190,"2,7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00246218,"2,7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00246236,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00246238,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00246472,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00246586,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00246601,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00246635,"2,7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00246640,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00246647,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00246672,"2,7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00246691,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00246747,"5,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00246862,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00246918,"1,7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00247034,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00247159,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00247214,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00247220,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00247247,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00247248,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00247261,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00247263,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00247265,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00247292,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00247342,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00247382,"2,7",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00247425,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00247448,"2,7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00247500,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00247540,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00247560,"1,7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00247603,",7",-6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00247620,"1,7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00247740,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00247864,"1,7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00247894,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00247967,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00248021,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00248165,"1,7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00248211,",7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00248239,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00248324,"1,7",-4.5
