"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","5311","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00110137",",7","-0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230051",",7","-3.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230143",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230163",",7","1.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230204",",7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230304",",7","0.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230360",",7","-0.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230368",",7","0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230542","1,7","0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230608","2,7","-3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230657","1,7","0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230789","1,7","0.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230824",",7","-1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230856","2,7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00230980",",7","-2.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231037",",7","-1.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231087","1,7","-1.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231145",",7","-0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231189",",7","-1.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231275","3,7","-3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231340","3,7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231580","2,7","-3.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231640","5,7","-1.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231674","2,7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231711",",7","-1.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231748",",7","-1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231801",",7","0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231822","2,7","-2.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00231924",",7","-2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232240","1,7","0.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232289",",7","0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232302","1,7","1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232318",",7","-4.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232503","3,7","-0.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00232511",",7","-0.2"
