date,datatype,station,attributes,value
2015-05-01T00:00:00,TAVG,GHCND:USC00250030,",7",11.2
2015-05-01T00:00:00,TAVG,GHCND:USC00250050,",7",13.5
2015-05-01T00:00:00,TAVG,GHCND:USC00250070,",7",14.6
2015-05-01T00:00:00,TAVG,GHCND:USC00250130,",7",10.7
2015-05-01T00:00:00,TAVG,GHCND:USC00250245,",7",13.0
2015-05-01T00:00:00,TAVG,GHCND:USC00250355,",7",13.9
2015-05-01T00:00:00,TAVG,GHCND:USC00250365,",7",12.6
2015-05-01T00:00:00,TAVG,GHCND:USC00250375,",7",15.6
2015-05-01T00:00:00,TAVG,GHCND:USC00250420,",7",13.7
2015-05-01T00:00:00,TAVG,GHCND:USC00250435,",7",16.7
2015-05-01T00:00:00,TAVG,GHCND:USC00250525,",7",14.2
2015-05-01T00:00:00,TAVG,GHCND:USC00250640,",7",15.4
2015-05-01T00:00:00,TAVG,GHCND:USC00250760,",7",14.9
2015-05-01T00:00:00,TAVG,GHCND:USC00250865,",7",12.2
2015-05-01T00:00:00,TAVG,GHCND:USC00251082,",7",14.1
2015-05-01T00:00:00,TAVG,GHCND:USC00251145,",7",12.4
2015-05-01T00:00:00,TAVG,GHCND:USC00251149,"1,7",10.2
2015-05-01T00:00:00,TAVG,GHCND:USC00251189,",7",11.4
2015-05-01T00:00:00,TAVG,GHCND:USC00251190,"1,7",10.8
2015-05-01T00:00:00,TAVG,GHCND:USC00251200,",7",12.8
2015-05-01T00:00:00,TAVG,GHCND:USC00251345,",7",13.9
2015-05-01T00:00:00,TAVG,GHCND:USC00251361,",7",8.3
2015-05-01T00:00:00,TAVG,GHCND:USC00251365,",7",13.2
2015-05-01T00:00:00,TAVG,GHCND:USC00251408,",7",13.5
2015-05-01T00:00:00,TAVG,GHCND:USC00251415,",7",14.5
2015-05-01T00:00:00,TAVG,GHCND:USC00251450,",7",13.4
2015-05-01T00:00:00,TAVG,GHCND:USC00251560,",7",15.1
2015-05-01T00:00:00,TAVG,GHCND:USC00251575,",7",11.0
2015-05-01T00:00:00,TAVG,GHCND:USC00251590,"1,7",14.4
2015-05-01T00:00:00,TAVG,GHCND:USC00251684,",7",15.6
2015-05-01T00:00:00,TAVG,GHCND:USC00251825,",7",15.4
2015-05-01T00:00:00,TAVG,GHCND:USC00252000,",7",11.5
2015-05-01T00:00:00,TAVG,GHCND:USC00252020,",7",15.8
2015-05-01T00:00:00,TAVG,GHCND:USC00252037,",7",14.5
2015-05-01T00:00:00,TAVG,GHCND:USC00252065,",7",14.5
2015-05-01T00:00:00,TAVG,GHCND:USC00252100,",7",14.9
2015-05-01T00:00:00,TAVG,GHCND:USC00252145,",7",11.6
2015-05-01T00:00:00,TAVG,GHCND:USC00252205,",7",14.6
2015-05-01T00:00:00,TAVG,GHCND:USC00252560,",7",15.1
2015-05-01T00:00:00,TAVG,GHCND:USC00252595,",7",14.6
2015-05-01T00:00:00,TAVG,GHCND:USC00252680,",7",13.9
2015-05-01T00:00:00,TAVG,GHCND:USC00252790,",7",13.3
2015-05-01T00:00:00,TAVG,GHCND:USC00252805,"1,7",15.9
2015-05-01T00:00:00,TAVG,GHCND:USC00252820,",7",15.7
2015-05-01T00:00:00,TAVG,GHCND:USC00252851,",7",16.8
2015-05-01T00:00:00,TAVG,GHCND:USC00252980,"2,7",15.4
2015-05-01T00:00:00,TAVG,GHCND:USC00253015,",7",10.8
2015-05-01T00:00:00,TAVG,GHCND:USC00253037,",7",15.2
