date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00280907,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00281335,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00281351,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00281582,"1,7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00283029,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00283181,"1,7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00283704,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00283951,"2,7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00284229,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00284987,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00285243,",Z",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00286055,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00286864,"2,7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00286964,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00286979,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00287301,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00287936,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00288644,",7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00289363,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00306774,",7",-6.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000JEBF,",U",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USW00013724,",W",0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013735,"4,W",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USW00014734,",W",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USW00014792,",W",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USW00054743,",W",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USW00054779,",W",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USW00054785,",W",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USW00054793,",W",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USW00093730,",W",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00093780,",W",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USW00094741,",W",-1.9
2015-02-01T00:00:00,TAVG,GHCND:USC00280907,",7",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USC00281335,",7",-6.1
2015-02-01T00:00:00,TAVG,GHCND:USC00281351,",7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00281582,"1,7",-8.9
2015-02-01T00:00:00,TAVG,GHCND:USC00282805,",7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00283029,"2,7",-7.0
2015-02-01T00:00:00,TAVG,GHCND:USC00283181,",7",-5.1
2015-02-01T00:00:00,TAVG,GHCND:USC00283704,",7",-5.5
2015-02-01T00:00:00,TAVG,GHCND:USC00283951,",7",-5.7
2015-02-01T00:00:00,TAVG,GHCND:USC00284229,",7",-4.4
2015-02-01T00:00:00,TAVG,GHCND:USC00284987,",7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00285243,",Z",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00286055,",7",-5.7
2015-02-01T00:00:00,TAVG,GHCND:USC00286864,",7",-4.9
2015-02-01T00:00:00,TAVG,GHCND:USC00286964,",7",-5.7
2015-02-01T00:00:00,TAVG,GHCND:USC00286979,"1,7",-7.1
2015-02-01T00:00:00,TAVG,GHCND:USC00287301,",7",-6.5
2015-02-01T00:00:00,TAVG,GHCND:USC00287936,",7",-3.8
2015-02-01T00:00:00,TAVG,GHCND:USC00288644,",7",-9.7
2015-02-01T00:00:00,TAVG,GHCND:USC00289363,"1,7",-7.1
2015-02-01T00:00:00,TAVG,GHCND:USC00306774,",7",-10.5
2015-02-01T00:00:00,TAVG,GHCND:USR0000JEBF,",U",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USW00013724,"1,W",-2.4
2015-02-01T00:00:00,TAVG,GHCND:USW00013735,"1,W",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USW00014734,",W",-5.2
2015-02-01T00:00:00,TAVG,GHCND:USW00014792,",W",-5.1
2015-02-01T00:00:00,TAVG,GHCND:USW00054743,",W",-6.8
2015-02-01T00:00:00,TAVG,GHCND:USW00054779,",W",-8.9
2015-02-01T00:00:00,TAVG,GHCND:USW00054785,",W",-6.4
2015-02-01T00:00:00,TAVG,GHCND:USW00054793,",W",-8.9
2015-02-01T00:00:00,TAVG,GHCND:USW00093730,",W",-4.2
2015-02-01T00:00:00,TAVG,GHCND:USW00093780,",W",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USW00094741,",W",-5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00280907,",7",0.8
2015-03-01T00:00:00,TAVG,GHCND:USC00281335,",7",1.3
