"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","5620","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00250030",",7","-2.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250050",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250070",",7","-4.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250130",",7","-3.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250245",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250355",",7","-2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250365",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250375",",7","-3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250420","2,7","-4.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250435",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250525",",7","-4.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250640",",7","-1.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250760",",7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00250865","1,7","-2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251082",",7","-1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251145",",7","-3.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251149",",7","-2.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251189","1,7","-4.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251190",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251200",",7","-2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251345",",7","-3.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251361",",7","-3.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251365",",7","-4.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251408",",7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251415",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251450",",7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251560",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251575",",7","-3.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251590","1,7","-3.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251684",",7","-1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00251825",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252000","1,7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252020",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252037",",7","-4.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252065",",7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252100",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252145","1,7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252205",",7","-4.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252560",",7","-1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252595",",7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252680",",7","-2.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252790","1,7","-2.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252820",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252851","1,7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00252980","2,7","-4.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253015",",7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253037",",7","-2.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253050",",7","-3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253065",",7","-2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253175",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253185",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253355",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253365",",7","-1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253425",",7","-4.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253467",",7","-2.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253595",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253605",",7","-1.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253615",",7","-3.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253617",",7","-3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253618",",7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253630",",7","-4.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00253652",",7","-4.3"
