"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","6361","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00260125","4,7","10.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00260438",",7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00260507",",7","4.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00260795",",7","1.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00260800",",7","1.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00260955",",7","2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00261327","4,7","8.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00261358","3,7","3.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00261485",",7","3.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00261590",",7","2.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262119",",7","1.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262229","1,7","2.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262243",",7","7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262296","1,7","0.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262431","1,7","2.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262570",",7","0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262708",",7","0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262780",",7","-2.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00262948",",7","3.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263090",",7","2.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263114",",7","1.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263205",",7","5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263340","1,7","0.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263512",",7","5.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263671",",7","6.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263957",",7","1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00263960",",7","3.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264016",",7","-0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264039",",7","0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264095","1,7","-0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264236","1,7","1.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264341",",7","0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264349",",7","4.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264391","3,7","-0.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264439",",7","10.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264480","2,7","14.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00264527","1,7","2.0"
