"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","1695","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00067958",",7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00270493",",7","-10.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00270690","1,7","-11.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00270913",",7","-9.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00271647",",7","-14.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00272174","1,7","-6.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00272302",",7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00272800",",7","-7.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00272999",",7","-14.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00273182","4,7","-9.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00273488",",7","-11.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00273658","2,7","-7.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00273825","4,7","-8.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00273850",",7","-8.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274234",",7","-7.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274304",",7","-7.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274329",",7","-11.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274399",",7","-8.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274480",",7","-7.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00274556",",7","-13.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00275211",",7","-7.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00275350",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00275629",",7","-8.8"
