date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00290041,"2,7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00290225,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00290231,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00290245,"1,7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00290377,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00290407,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00290417,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00290426,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00290600,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00290640,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00290692,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00290983,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00290992,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00291063,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00291138,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00291286,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00291445,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00291450,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00291469,"1,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00291630,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00291647,",7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00291664,",7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00291813,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00291883,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00291910,"1,7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00291931,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00291963,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00291982,"1,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00292030,"1,7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00292100,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00292250,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00292365,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00292510,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00292608,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00292700,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00292785,"3,7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00292820,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00292837,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00292848,",7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00292865,"4,7",1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00293142,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00293296,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00293428,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00293488,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00293530,"1,7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00293706,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00293775,"2,7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00294009,",7",4.0
