date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00300023,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00300055,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00300063,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00300085,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00300093,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00300183,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00300321,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00300331,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00300343,",7",-8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00300364,"1,7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00300443,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00300785,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00300889,"5,7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00301068,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00301102,",7",-8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00301110,",7",-9.8
2015-01-01T00:00:00,TAVG,GHCND:USC00301152,",7",-6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00301211,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00301309,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00301413,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00301595,"1,7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00301625,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00301664,",7",-11.8
2015-01-01T00:00:00,TAVG,GHCND:USC00301708,",7",-9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00301752,",7",-9.2
2015-01-01T00:00:00,TAVG,GHCND:USC00301787,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00301966,",7",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00301974,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00302031,"1,7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00302151,",7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00302169,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00302366,"1,7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00302454,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00302574,",7",-11.5
2015-01-01T00:00:00,TAVG,GHCND:USC00302610,",7",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00303025,",7",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00303050,",7",-9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00303087,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00303184,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00303322,",7",-12.1
2015-01-01T00:00:00,TAVG,GHCND:USC00303346,",7",-12.6
2015-01-01T00:00:00,TAVG,GHCND:USC00303773,",7",-7.2
