date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00310212,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00310241,"1,7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00310286,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00310356,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00310506,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00310576,",7",7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00310645,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00310724,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00310982,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00311055,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00311165,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00311222,"5,7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00311239,"2,7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00311248,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00311420,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00311429,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00311535,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00311578,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00311606,"4,7",9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00311677,"2,7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00311820,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00311881,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00311949,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00311975,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00312102,",7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00312200,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00312238,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00312500,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00312631,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00312635,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00312719,",7",6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00312732,"1,7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00312740,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00312837,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00312993,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00313017,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00313072,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00313106,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00313152,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00313228,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00313238,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00313336,"1,7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00313356,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00313503,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00313625,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00313638,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00313784,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00313919,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00313969,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00313971,"4,7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00313976,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00314055,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00314063,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00314260,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00314456,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00314464,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00314471,",7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00314496,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00314684,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00314764,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00314788,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00314860,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00314938,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00314962,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00314970,"1,7",3.9
