date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:CA005020881,",C",-13.2
2015-01-01T00:00:00,TAVG,GHCND:USC00320382,"1,7",-8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00320817,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00320818,"1,7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00320941,"1,7",-12.0
2015-01-01T00:00:00,TAVG,GHCND:USC00320995,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00321225,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00321408,"2,7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00321435,"1,7",-12.1
2015-01-01T00:00:00,TAVG,GHCND:USC00321871,"5,7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00322193,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00322304,",7",-10.7
2015-01-01T00:00:00,TAVG,GHCND:USC00322365,"2,7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00322482,"5,7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00322605,"2,7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00322695,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00322768,"4,7",-12.5
2015-01-01T00:00:00,TAVG,GHCND:USC00323004,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00323117,",7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00323196,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00323287,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00323376,",7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00323621,",7",-10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00323705,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00324083,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00324091,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00324102,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00324418,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00324571,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00324722,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00324879,",7",-12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00325186,",7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00325220,"1,7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00325479,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00325638,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00325660,",7",-11.0
2015-01-01T00:00:00,TAVG,GHCND:USC00325710,"1,7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00325730,",7",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00325754,",7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00325813,"1,7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00325848,"1,7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00325993,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00326025,"1,7",-11.1
2015-01-01T00:00:00,TAVG,GHCND:USC00326255,"3,7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00326315,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00326365,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00327027,"1,7",-12.7
2015-01-01T00:00:00,TAVG,GHCND:USC00327311,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00327530,"2,7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00327585,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00327655,",7",-13.2
2015-01-01T00:00:00,TAVG,GHCND:USC00327704,",7",-11.1
2015-01-01T00:00:00,TAVG,GHCND:USC00328276,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00328366,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00328415,"1,7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00328660,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00328792,"1,7",-10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00328840,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00328872,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00328913,",7",-10.9
2015-01-01T00:00:00,TAVG,GHCND:USC00329233,"2,7",-7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00329430,",7",-6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00329445,",7",-12.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000NARR,",U",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000NDEV,",U",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000NHAM,",U",-12.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000NJCL,",U",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000NLOS,"2,U",-9.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000NSCK,",U",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000NSHY,"2,U",-9.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000NWAT,"2,U",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USW00014914,",W",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USW00014916,",W",-10.8
2015-01-01T00:00:00,TAVG,GHCND:USW00014919,",W",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USW00014924,",7",-13.3
2015-01-01T00:00:00,TAVG,GHCND:USW00024011,",W",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USW00024012,",W",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USW00024013,",W",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USW00094014,",W",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USW00094038,",W",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USW00094041,",W",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USW00094080,",R",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USW00094084,",R",-10.3
2015-02-01T00:00:00,TAVG,GHCND:USC00320382,"2,7",-13.9
2015-02-01T00:00:00,TAVG,GHCND:USC00320626,"2,7",-18.8
2015-02-01T00:00:00,TAVG,GHCND:USC00320817,",7",-12.0
2015-02-01T00:00:00,TAVG,GHCND:USC00320818,",7",-11.3
2015-02-01T00:00:00,TAVG,GHCND:USC00320941,",7",-18.0
2015-02-01T00:00:00,TAVG,GHCND:USC00320995,",7",-7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00321225,"5,7",-14.4
