date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00330563,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00330676,"1,7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00330862,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00331042,"2,7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00331072,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00331197,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00331390,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00331404,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00331458,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00331515,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00331541,"2,7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00331592,"1,7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00331783,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00331785,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00331890,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00331905,"1,7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00332044,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00332067,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00332098,",7",-6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00332160,"1,7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00332251,",7",-7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00332485,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00332651,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00332791,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00332974,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00333021,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00333029,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00333375,",7",-4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00333500,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00333722,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00333758,",7",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00333780,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00333915,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00334403,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00334551,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00334672,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00334681,",7",-5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00334874,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00334927,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00334942,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00334979,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00335297,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00335505,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00335747,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00335857,"2,7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00335939,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00336118,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00336389,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00336405,",7",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00336465,",7",-6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00336650,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00336781,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00336949,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00337693,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00337857,"1,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00337935,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00338062,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00338609,",7",-6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00338769,",7",-5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00338794,",7",-4.0
