date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00340010,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00340027,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00340180,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00340184,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00340198,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00340256,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00340257,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00340264,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00340312,",7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00340313,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00340338,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00340391,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00340546,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00340567,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00340593,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00340684,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00340755,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00340810,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00340818,"4,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00340830,",7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00340908,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00340990,",7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00341083,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00341162,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00341240,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00341266,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00341270,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00341283,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00341404,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00341644,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00341685,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00341726,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00341743,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00341745,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00341756,",7",3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00341828,"2,7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00342011,",7",4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00342207,",7",3.1
