date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00264935,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00350036,"1,7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00350118,"1,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00350145,",7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00350197,"4,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00350265,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00350304,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00350471,",7",8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00350501,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00350652,"2,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00350694,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00350699,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00350858,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00350897,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00351058,"1,7",11.4
2015-01-01T00:00:00,TAVG,GHCND:USC00351407,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00351448,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00351546,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00351574,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00351643,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00351682,",7",10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00351738,",7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00351765,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00351836,",7",9.3
2015-01-01T00:00:00,TAVG,GHCND:USC00351862,",7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00351877,",7",3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00351897,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00351914,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00351946,"1,7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00352112,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00352292,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00352374,",7",6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00352406,",7",7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00352440,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00352632,",7",7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00352693,",7",6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00352800,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00352867,",7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00352876,"1,7",0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00352973,",7",9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00352997,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00353014,"5,7",7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00353038,",7",4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00353047,",7",6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00353356,",7",10.8
2015-01-01T00:00:00,TAVG,GHCND:USC00353402,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00353445,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00353522,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00353542,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00353604,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00353692,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00353770,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00353818,"2,7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00353827,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00353995,",7",8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00354003,",7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00354060,"1,7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00354098,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00354291,",7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00354403,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00354606,"3,7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00354622,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00354776,",7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00354811,",7",6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00354819,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00354835,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00355020,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00355050,",7",6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00355055,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00355139,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00355160,"2,7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00355204,",7",9.3
