date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00301413,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00306774,",7",-6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00360132,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00360140,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00360457,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00360475,"1,7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00360582,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00360656,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00360754,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00360785,",7",-4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00360861,"2,7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00360868,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00361139,"3,7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00361212,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00361354,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00361362,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00361377,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00361480,",7",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00361526,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00361705,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00361726,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00361802,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00361810,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00361838,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00361920,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00362071,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00362183,",7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00362190,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00362323,",7",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00362470,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00362574,"2,7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00362721,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00362942,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00363018,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00363028,",7",-6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00363226,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00363311,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00363343,"2,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00363417,",7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00363437,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00363451,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00363632,",7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00363665,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00363698,",7",-3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00363758,",7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00364214,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00364325,",7",-7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00364432,",7",-8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00364763,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00364778,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00364815,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00364839,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00364896,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00364934,",7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00364976,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00364992,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00365050,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00365109,",7",-5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00365212,"3,7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00365344,",7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00365573,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00365686,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00365738,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00365790,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00365902,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00365918,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00366111,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00366151,"1,7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00366194,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00366233,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00366238,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00366370,"2,7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00366508,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00366649,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00366886,",7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00366921,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00367029,",7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00367073,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00367103,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00367167,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00367229,"4,7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00367313,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00367409,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00367477,",7",-6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00367732,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00367782,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00367931,",7",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00367938,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00368073,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00368308,",7",-4.5
