date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00374266,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00375270,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00377581,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00379423,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USW00014765,",W",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USW00014787,",W",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USW00014794,",W",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USW00054796,",R",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USW00054797,",R",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USC00374266,",7",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USC00375270,",7",-9.2
2015-02-01T00:00:00,TAVG,GHCND:USC00377581,",7",-7.1
2015-02-01T00:00:00,TAVG,GHCND:USC00379423,",7",-8.6
2015-02-01T00:00:00,TAVG,GHCND:USW00014765,",W",-7.5
2015-02-01T00:00:00,TAVG,GHCND:USW00014787,",W",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USW00014794,",W",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USW00054796,",R",-8.4
2015-02-01T00:00:00,TAVG,GHCND:USW00054797,",R",-8.6
2015-03-01T00:00:00,TAVG,GHCND:USC00374266,",7",0.5
2015-03-01T00:00:00,TAVG,GHCND:USC00375270,",7",-0.8
2015-03-01T00:00:00,TAVG,GHCND:USC00377581,",7",0.4
2015-03-01T00:00:00,TAVG,GHCND:USC00379423,",7",-0.4
2015-03-01T00:00:00,TAVG,GHCND:USW00014765,",W",0.4
2015-03-01T00:00:00,TAVG,GHCND:USW00014787,",W",0.4
2015-03-01T00:00:00,TAVG,GHCND:USW00014794,",W",0.0
2015-03-01T00:00:00,TAVG,GHCND:USW00054796,",R",-0.7
2015-03-01T00:00:00,TAVG,GHCND:USW00054797,"1,R",-0.7
2015-04-01T00:00:00,TAVG,GHCND:USC00374266,",7",8.8
2015-04-01T00:00:00,TAVG,GHCND:USC00375270,",7",7.9
2015-04-01T00:00:00,TAVG,GHCND:USC00377581,",7",8.8
2015-04-01T00:00:00,TAVG,GHCND:USC00379423,",7",8.7
2015-04-01T00:00:00,TAVG,GHCND:USW00014765,",W",9.4
2015-04-01T00:00:00,TAVG,GHCND:USW00014787,",W",8.1
2015-04-01T00:00:00,TAVG,GHCND:USW00014794,",W",8.1
2015-04-01T00:00:00,TAVG,GHCND:USW00054796,",R",7.8
2015-04-01T00:00:00,TAVG,GHCND:USW00054797,",R",7.5
2015-05-01T00:00:00,TAVG,GHCND:USC00374266,",7",16.1
2015-05-01T00:00:00,TAVG,GHCND:USC00375270,",7",16.6
2015-05-01T00:00:00,TAVG,GHCND:USC00377581,",7",16.5
2015-05-01T00:00:00,TAVG,GHCND:USC00379423,",7",17.5
2015-05-01T00:00:00,TAVG,GHCND:USW00014765,",W",17.2
2015-05-01T00:00:00,TAVG,GHCND:USW00014787,",W",14.6
2015-05-01T00:00:00,TAVG,GHCND:USW00014794,",W",14.8
2015-05-01T00:00:00,TAVG,GHCND:USW00054796,",R",15.1
2015-05-01T00:00:00,TAVG,GHCND:USW00054797,",R",14.6
2015-06-01T00:00:00,TAVG,GHCND:USC00374266,",7",18.3
2015-06-01T00:00:00,TAVG,GHCND:USC00375270,",7",17.3
2015-06-01T00:00:00,TAVG,GHCND:USC00377581,",7",18.6
2015-06-01T00:00:00,TAVG,GHCND:USC00379423,",7",18.7
2015-06-01T00:00:00,TAVG,GHCND:USW00014765,",W",19.1
2015-06-01T00:00:00,TAVG,GHCND:USW00014787,",W",17.6
2015-06-01T00:00:00,TAVG,GHCND:USW00014794,",W",18.0
2015-06-01T00:00:00,TAVG,GHCND:USW00054796,",R",17.4
2015-06-01T00:00:00,TAVG,GHCND:USW00054797,",R",16.9
2015-07-01T00:00:00,TAVG,GHCND:USC00374266,",7",22.4
2015-07-01T00:00:00,TAVG,GHCND:USC00375270,",7",21.6
2015-07-01T00:00:00,TAVG,GHCND:USC00377581,",7",23.3
2015-07-01T00:00:00,TAVG,GHCND:USC00379423,",7",22.9
2015-07-01T00:00:00,TAVG,GHCND:USW00014765,",W",23.6
2015-07-01T00:00:00,TAVG,GHCND:USW00014787,",W",22.2
2015-07-01T00:00:00,TAVG,GHCND:USW00014794,",W",22.6
2015-07-01T00:00:00,TAVG,GHCND:USW00054796,",R",21.8
2015-07-01T00:00:00,TAVG,GHCND:USW00054797,",R",21.4
2015-08-01T00:00:00,TAVG,GHCND:USC00374266,",7",22.4
2015-08-01T00:00:00,TAVG,GHCND:USC00375270,",7",21.5
2015-08-01T00:00:00,TAVG,GHCND:USC00379423,",7",23.2
2015-08-01T00:00:00,TAVG,GHCND:USW00014765,",W",23.8
2015-08-01T00:00:00,TAVG,GHCND:USW00014787,",W",22.8
2015-08-01T00:00:00,TAVG,GHCND:USW00014794,",W",22.6
2015-08-01T00:00:00,TAVG,GHCND:USW00054796,",R",21.8
2015-08-01T00:00:00,TAVG,GHCND:USW00054797,",R",21.3
2015-09-01T00:00:00,TAVG,GHCND:USC00374266,",7",19.6
2015-09-01T00:00:00,TAVG,GHCND:USC00375270,",7",19.0
2015-09-01T00:00:00,TAVG,GHCND:USC00377581,",7",21.4
2015-09-01T00:00:00,TAVG,GHCND:USC00379423,",7",20.5
2015-09-01T00:00:00,TAVG,GHCND:USW00014765,",W",20.6
2015-09-01T00:00:00,TAVG,GHCND:USW00014787,",W",20.3
2015-09-01T00:00:00,TAVG,GHCND:USW00014794,",W",19.6
2015-09-01T00:00:00,TAVG,GHCND:USW00054796,"1,R",18.9
2015-09-01T00:00:00,TAVG,GHCND:USW00054797,",R",18.4
2015-10-01T00:00:00,TAVG,GHCND:USC00374266,",7",11.3
2015-10-01T00:00:00,TAVG,GHCND:USC00375270,",7",10.2
2015-10-01T00:00:00,TAVG,GHCND:USC00377581,",7",12.4
2015-10-01T00:00:00,TAVG,GHCND:USC00379423,"1,7",11.1
2015-10-01T00:00:00,TAVG,GHCND:USW00014765,",W",12.1
2015-10-01T00:00:00,TAVG,GHCND:USW00014787,",W",12.8
2015-10-01T00:00:00,TAVG,GHCND:USW00014794,",W",11.5
2015-10-01T00:00:00,TAVG,GHCND:USW00054796,",R",10.5
2015-10-01T00:00:00,TAVG,GHCND:USW00054797,",R",10.1
2015-11-01T00:00:00,TAVG,GHCND:USC00374266,",7",8.6
2015-11-01T00:00:00,TAVG,GHCND:USC00375270,",7",7.3
2015-11-01T00:00:00,TAVG,GHCND:USC00377581,",7",8.5
2015-11-01T00:00:00,TAVG,GHCND:USC00379423,"1,7",7.7
2015-11-01T00:00:00,TAVG,GHCND:USW00014765,",W",8.8
2015-11-01T00:00:00,TAVG,GHCND:USW00014787,"2,W",9.6
2015-11-01T00:00:00,TAVG,GHCND:USW00014794,",W",8.8
2015-11-01T00:00:00,TAVG,GHCND:USW00054796,",R",7.7
2015-11-01T00:00:00,TAVG,GHCND:USW00054797,",R",7.4
2015-12-01T00:00:00,TAVG,GHCND:USC00374266,",7",7.9
2015-12-01T00:00:00,TAVG,GHCND:USC00375270,",7",6.3
2015-12-01T00:00:00,TAVG,GHCND:USC00377581,",7",7.7
2015-12-01T00:00:00,TAVG,GHCND:USC00379423,",7",6.4
2015-12-01T00:00:00,TAVG,GHCND:USW00014765,",W",7.8
2015-12-01T00:00:00,TAVG,GHCND:USW00014787,",W",8.4
