date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00380072,"1,7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00380126,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00380165,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00380184,"1,7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00380448,",7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00380490,",7",7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00380506,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00381093,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00381241,",7",6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00381256,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00381277,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00381479,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00381588,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00381625,",7",3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00381633,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00381645,"1,7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00381726,"1,7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00381770,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00381814,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00381944,",7",7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00382386,"3,7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00382730,"3,7",10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00382735,",7",9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00383145,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00383470,",7",8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00383758,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00383990,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00384111,",7",6.8
2015-01-01T00:00:00,TAVG,GHCND:USC00384296,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00384581,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00384607,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00384886,"5,7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00385017,",7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00385200,"1,7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00385278,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00385362,"4,7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00385493,",7",6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00385509,",7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00385633,"1,7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00385660,"1,7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00385946,"2,7",7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00386114,"1,7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00386209,"3,7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00386293,",7",3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00386527,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00386831,",7",4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00387631,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00387666,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00387687,",7",4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00387722,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00388188,",7",4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00388440,",7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00388472,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00388786,",7",4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00388887,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00388922,",7",10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00388979,"1,7",6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00389327,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00389350,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00389625,"1,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000SANP,"1,U",5.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000SCAR,",U",5.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000SSV1,",U",7.5
