date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:US009052008,",C",-7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00390022,"2,7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00390043,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00390120,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00390128,",7",-6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00390422,",7",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USC00390554,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00390559,"4,7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00390701,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00391032,"1,7",-6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00391049,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00391076,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00391294,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00391392,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00391520,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00391539,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00391579,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00391621,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00391740,",7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00391777,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00391873,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00391972,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00392087,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00392302,",7",-5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00392429,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00392446,",7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00392557,",7",-4.7
2015-01-01T00:00:00,TAVG,GHCND:USC00392565,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00392647,",7",-3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00392927,",7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00392984,",7",-8.3
