date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00155694,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00400049,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00400081,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00400137,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00400235,"2,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00400284,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00400669,"1,7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00400705,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00400876,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00401039,"3,7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00401145,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00401310,"2,7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00401352,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00401480,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00401585,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00401640,",7",1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00401790,"1,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00401795,"1,7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00401808,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00401887,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00401957,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00402009,"1,7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00402108,"1,7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00402140,"2,7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00402202,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00402388,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00402390,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00402489,"1,7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00402680,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00402806,"3,7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00402934,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00402989,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00403040,"1,7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00403074,"1,7",3.8
2015-01-01T00:00:00,TAVG,GHCND:USC00403280,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00403420,",7",1.9
