date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00410012,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00410120,",7",5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00410174,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00410176,",7",5.8
2015-01-01T00:00:00,TAVG,GHCND:USC00410206,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410225,",7",8.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410235,"3,7",8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00410250,"2,7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00410268,"3,7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00410337,",7",6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00410345,"4,7",10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410394,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00410404,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00410408,",7",5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00410433,",7",7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00410436,"1,7",9.8
2015-01-01T00:00:00,TAVG,GHCND:USC00410482,"2,7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410493,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00410498,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00410518,"2,7",7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00410569,",7",11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00410586,",7",9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410611,"5,7",9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00410639,"5,7",10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00410690,",7",10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00410764,"3,7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00410779,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00410832,",7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00410902,",7",7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00410923,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00410926,",7",4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00410958,",7",4.3
