date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00420061,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00420072,"1,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00420074,"1,7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00420086,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00420168,",7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00420336,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00420487,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00420688,",7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00420730,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00420738,",7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00420788,"1,7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00420819,",Z",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00420849,"1,7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00420928,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00421008,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00421020,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00421144,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00421168,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00421171,"1,7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00421214,",7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00421259,",7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00421260,",7",0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00421308,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00421446,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00421590,"2,7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00421759,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00421918,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00422057,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00422101,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00422173,",7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00422253,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00422385,"1,7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00422558,",7",0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00422592,",7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00422607,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00422696,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00422726,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00422798,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00422852,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00422996,",7",-4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00423012,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00423348,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00423600,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00423980,",7",2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00424100,"1,7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00424174,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00424321,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00424342,"1,7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00424467,",7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00424508,"1,7",4.2
