date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00276234,",7",-13.7
2015-01-01T00:00:00,TAVG,GHCND:USC00430193,",7",-14.6
2015-01-01T00:00:00,TAVG,GHCND:USC00430661,"2,7",-10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00431565,",7",-12.9
2015-01-01T00:00:00,TAVG,GHCND:USC00431580,",7",-9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00432314,",7",-14.7
2015-01-01T00:00:00,TAVG,GHCND:USC00432773,"2,7",-12.6
2015-01-01T00:00:00,TAVG,GHCND:USC00434120,",7",-13.2
2015-01-01T00:00:00,TAVG,GHCND:USC00434290,",7",-12.6
2015-01-01T00:00:00,TAVG,GHCND:USC00434942,"1,7",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USC00435273,"1,7",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00435416,",7",-14.7
2015-01-01T00:00:00,TAVG,GHCND:USC00435542,",7",-13.4
2015-01-01T00:00:00,TAVG,GHCND:USC00435768,",7",-10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00435982,",7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00436391,",7",-13.8
2015-01-01T00:00:00,TAVG,GHCND:USC00436995,",7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00437054,",7",-10.5
2015-01-01T00:00:00,TAVG,GHCND:USC00437098,",7",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00437607,",7",-9.3
2015-01-01T00:00:00,TAVG,GHCND:USC00437612,",7",-12.4
2015-01-01T00:00:00,TAVG,GHCND:USC00438169,",7",-13.4
2015-01-01T00:00:00,TAVG,GHCND:USC00438172,",7",-15.8
2015-01-01T00:00:00,TAVG,GHCND:USC00438556,",7",-11.2
2015-01-01T00:00:00,TAVG,GHCND:USC00438597,"4,7",-9.0
2015-01-01T00:00:00,TAVG,GHCND:USC00438652,",7",-14.7
2015-01-01T00:00:00,TAVG,GHCND:USC00439984,",7",-10.9
2015-01-01T00:00:00,TAVG,GHCND:USC00439988,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USR0000VELM,"4,U",-11.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000VESS,"4,U",-9.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000VNUL,"4,U",-12.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000VSWE,"4,U",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USW00014742,",W",-8.9
2015-01-01T00:00:00,TAVG,GHCND:USW00054740,",W",-9.1
2015-01-01T00:00:00,TAVG,GHCND:USW00054742,",W",-10.9
2015-01-01T00:00:00,TAVG,GHCND:USW00054771,"2,W",-11.5
2015-01-01T00:00:00,TAVG,GHCND:USW00054781,",W",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USW00094705,",W",-11.3
2015-01-01T00:00:00,TAVG,GHCND:USW00094737,"5,W",-9.0
2015-02-01T00:00:00,TAVG,GHCND:USC00276234,",7",-16.7
2015-02-01T00:00:00,TAVG,GHCND:USC00430193,"1,7",-17.8
2015-02-01T00:00:00,TAVG,GHCND:USC00431565,",7",-15.9
2015-02-01T00:00:00,TAVG,GHCND:USC00431580,",7",-14.6
2015-02-01T00:00:00,TAVG,GHCND:USC00432314,",7",-18.0
2015-02-01T00:00:00,TAVG,GHCND:USC00432773,",7",-17.5
2015-02-01T00:00:00,TAVG,GHCND:USC00434120,"1,7",-17.3
2015-02-01T00:00:00,TAVG,GHCND:USC00434290,",7",-16.5
2015-02-01T00:00:00,TAVG,GHCND:USC00435273,"2,7",-14.3
2015-02-01T00:00:00,TAVG,GHCND:USC00435416,",7",-18.3
2015-02-01T00:00:00,TAVG,GHCND:USC00435542,"1,7",-17.7
2015-02-01T00:00:00,TAVG,GHCND:USC00435733,",7",-15.6
2015-02-01T00:00:00,TAVG,GHCND:USC00435768,",7",-14.6
2015-02-01T00:00:00,TAVG,GHCND:USC00435982,",7",-13.4
2015-02-01T00:00:00,TAVG,GHCND:USC00436391,"1,7",-17.5
2015-02-01T00:00:00,TAVG,GHCND:USC00436995,",7",-14.9
2015-02-01T00:00:00,TAVG,GHCND:USC00437054,",7",-13.5
2015-02-01T00:00:00,TAVG,GHCND:USC00437098,",7",-13.9
2015-02-01T00:00:00,TAVG,GHCND:USC00437607,",7",-13.8
2015-02-01T00:00:00,TAVG,GHCND:USC00437612,",7",-16.3
2015-02-01T00:00:00,TAVG,GHCND:USC00438169,",7",-16.4
2015-02-01T00:00:00,TAVG,GHCND:USC00438172,",7",-19.2
2015-02-01T00:00:00,TAVG,GHCND:USC00438556,",7",-14.6
2015-02-01T00:00:00,TAVG,GHCND:USC00438597,",7",-14.6
2015-02-01T00:00:00,TAVG,GHCND:USC00438640,",7",-12.5
2015-02-01T00:00:00,TAVG,GHCND:USC00438652,"1,7",-17.4
2015-02-01T00:00:00,TAVG,GHCND:USC00439984,",7",-14.2
2015-02-01T00:00:00,TAVG,GHCND:USC00439988,",7",-15.0
2015-02-01T00:00:00,TAVG,GHCND:USR0000VELM,",U",-15.3
2015-02-01T00:00:00,TAVG,GHCND:USR0000VESS,",U",-13.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000VNUL,"2,U",-15.1
2015-02-01T00:00:00,TAVG,GHCND:USR0000VSWE,",U",-12.2
2015-02-01T00:00:00,TAVG,GHCND:USW00014742,",W",-13.4
2015-02-01T00:00:00,TAVG,GHCND:USW00054740,",W",-12.5
2015-02-01T00:00:00,TAVG,GHCND:USW00054742,",W",-14.1
