date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00440021,"2,7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00440243,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00440327,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00440735,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00440766,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00440993,"1,7",1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00441082,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00441209,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00441322,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00441585,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00441593,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00441606,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00441614,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00441692,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00441746,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00441825,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00441999,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00442009,",7",1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00442044,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00442142,"2,7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00442208,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00442400,",7",1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00442635,",7",3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00442663,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00442790,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00442941,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00443204,"2,7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00443213,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00443229,"1,7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00443267,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00443272,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00443310,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00443640,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00444044,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00444101,"1,7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00444128,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00444414,",7",3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00444777,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00444876,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00444909,"1,7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445050,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445096,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00445150,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00445204,"1,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445300,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00445453,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445595,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445700,",7",0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00445851,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00445880,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00446125,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00446147,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00446161,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00446475,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00446491,"1,7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00446656,",7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00446712,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00446955,",7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00446999,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00447174,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00447278,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00447338,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00447506,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00447541,",7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00447904,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00447925,",7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00447985,"1,7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00448022,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00448062,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00448084,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00448129,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00448170,",7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00448192,",7",3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00448600,",7",1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00448737,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00448800,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00448829,",7",2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00448837,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00448888,"2,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00448894,"2,7",2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00448941,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00449025,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00449151,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00449181,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00449215,",7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00449263,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00449301,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000VASH,",U",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000VBAC,"2,U",4.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000VCRA,",U",1.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000VFVA,",U",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000VGDR,",U",4.0
2015-01-01T00:00:00,TAVG,GHCND:USR0000VJAM,",U",2.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000VWIS,",U",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USW00003739,",R",3.1
2015-01-01T00:00:00,TAVG,GHCND:USW00003759,",R",0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013728,",W",3.3
2015-01-01T00:00:00,TAVG,GHCND:USW00013733,",W",1.1
2015-01-01T00:00:00,TAVG,GHCND:USW00013737,",W",4.3
2015-01-01T00:00:00,TAVG,GHCND:USW00013740,",W",3.0
2015-01-01T00:00:00,TAVG,GHCND:USW00013741,",W",2.1
2015-01-01T00:00:00,TAVG,GHCND:USW00013743,",W",2.0
2015-01-01T00:00:00,TAVG,GHCND:USW00013750,",W",6.1
2015-01-01T00:00:00,TAVG,GHCND:USW00013762,"1,W",6.5
2015-01-01T00:00:00,TAVG,GHCND:USW00013769,",W",4.8
2015-01-01T00:00:00,TAVG,GHCND:USW00013773,",W",0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013877,",W",1.8
2015-01-01T00:00:00,TAVG,GHCND:USW00093736,",W",1.3
2015-01-01T00:00:00,TAVG,GHCND:USW00093738,",W",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USW00093739,",W",1.8
2015-01-01T00:00:00,TAVG,GHCND:USW00093741,",W",4.6
2015-01-01T00:00:00,TAVG,GHCND:USW00093773,",W",3.3
2015-01-01T00:00:00,TAVG,GHCND:USW00093775,",W",1.6
2015-02-01T00:00:00,TAVG,GHCND:USC00440021,",7",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00440187,"3,7",-0.7
2015-02-01T00:00:00,TAVG,GHCND:USC00440243,",7",-1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00440327,",7",-1.0
2015-02-01T00:00:00,TAVG,GHCND:USC00440735,"1,7",-3.1
2015-02-01T00:00:00,TAVG,GHCND:USC00440766,",7",-3.4
2015-02-01T00:00:00,TAVG,GHCND:USC00440860,"2,7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00440993,"3,7",-0.9
2015-02-01T00:00:00,TAVG,GHCND:USC00441082,",7",-1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00441209,"2,7",-6.4
2015-02-01T00:00:00,TAVG,GHCND:USC00441322,",7",-0.9
2015-02-01T00:00:00,TAVG,GHCND:USC00441585,",7",-0.6
2015-02-01T00:00:00,TAVG,GHCND:USC00441593,",7",-1.4
2015-02-01T00:00:00,TAVG,GHCND:USC00441606,",7",1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00441614,",7",-1.8
2015-02-01T00:00:00,TAVG,GHCND:USC00441692,",7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00441746,"2,7",1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00441825,",7",-4.6
2015-02-01T00:00:00,TAVG,GHCND:USC00441999,",7",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USC00442009,",7",-1.2
2015-02-01T00:00:00,TAVG,GHCND:USC00442044,",7",-3.0
2015-02-01T00:00:00,TAVG,GHCND:USC00442142,",7",-1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00442208,",7",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00442400,",7",-1.2
2015-02-01T00:00:00,TAVG,GHCND:USC00442635,",7",-1.0
2015-02-01T00:00:00,TAVG,GHCND:USC00442663,",7",-4.6
2015-02-01T00:00:00,TAVG,GHCND:USC00442941,",7",-1.1
2015-02-01T00:00:00,TAVG,GHCND:USC00443204,",7",-2.0
2015-02-01T00:00:00,TAVG,GHCND:USC00443213,"3,7",-2.7
2015-02-01T00:00:00,TAVG,GHCND:USC00443229,"1,7",-3.6
2015-02-01T00:00:00,TAVG,GHCND:USC00443267,",7",-2.5
2015-02-01T00:00:00,TAVG,GHCND:USC00443272,",7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00443310,"1,7",-4.4
2015-02-01T00:00:00,TAVG,GHCND:USC00443640,",7",-3.7
2015-02-01T00:00:00,TAVG,GHCND:USC00444044,"4,7",2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00444101,"1,7",1.6
2015-02-01T00:00:00,TAVG,GHCND:USC00444128,",7",-4.9
2015-02-01T00:00:00,TAVG,GHCND:USC00444414,"2,7",1.5
2015-02-01T00:00:00,TAVG,GHCND:USC00444777,",7",-3.7
2015-02-01T00:00:00,TAVG,GHCND:USC00444909,"2,7",-4.6
2015-02-01T00:00:00,TAVG,GHCND:USC00445050,",7",-0.6
2015-02-01T00:00:00,TAVG,GHCND:USC00445096,",7",-2.8
2015-02-01T00:00:00,TAVG,GHCND:USC00445150,",7",0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00445204,"3,7",-2.9
2015-02-01T00:00:00,TAVG,GHCND:USC00445300,",7",-1.2
2015-02-01T00:00:00,TAVG,GHCND:USC00445453,",7",-1.1
2015-02-01T00:00:00,TAVG,GHCND:USC00445595,",7",-6.5
2015-02-01T00:00:00,TAVG,GHCND:USC00445700,",7",-2.1
2015-02-01T00:00:00,TAVG,GHCND:USC00445851,",7",-5.4
2015-02-01T00:00:00,TAVG,GHCND:USC00445880,",7",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USC00446147,",7",0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00446161,",7",-1.4
2015-02-01T00:00:00,TAVG,GHCND:USC00446475,",7",-0.7
2015-02-01T00:00:00,TAVG,GHCND:USC00446491,",7",-2.3
2015-02-01T00:00:00,TAVG,GHCND:USC00446656,",7",-1.0
2015-02-01T00:00:00,TAVG,GHCND:USC00446712,",7",-2.4
2015-02-01T00:00:00,TAVG,GHCND:USC00446955,",7",-2.5
2015-02-01T00:00:00,TAVG,GHCND:USC00446999,",7",-3.5
2015-02-01T00:00:00,TAVG,GHCND:USC00447174,"1,7",-2.7
2015-02-01T00:00:00,TAVG,GHCND:USC00447278,"1,7",-1.1
2015-02-01T00:00:00,TAVG,GHCND:USC00447338,",7",-0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00447506,"1,7",-2.9
2015-02-01T00:00:00,TAVG,GHCND:USC00447541,",7",-1.8
2015-02-01T00:00:00,TAVG,GHCND:USC00447904,",7",-2.7
2015-02-01T00:00:00,TAVG,GHCND:USC00447925,",7",-0.4
2015-02-01T00:00:00,TAVG,GHCND:USC00447985,"1,7",-3.0
2015-02-01T00:00:00,TAVG,GHCND:USC00448022,",7",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00448062,",7",-3.1
2015-02-01T00:00:00,TAVG,GHCND:USC00448084,",7",-4.2
2015-02-01T00:00:00,TAVG,GHCND:USC00448129,",7",-0.4
2015-02-01T00:00:00,TAVG,GHCND:USC00448170,",7",0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00448192,",7",-0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00448600,",7",-0.9
2015-02-01T00:00:00,TAVG,GHCND:USC00448737,",7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00448800,",7",-0.5
2015-02-01T00:00:00,TAVG,GHCND:USC00448829,",7",0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00448837,",7",-1.3
2015-02-01T00:00:00,TAVG,GHCND:USC00448888,"3,7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00448894,",7",-1.0
2015-02-01T00:00:00,TAVG,GHCND:USC00448941,",7",-3.1
2015-02-01T00:00:00,TAVG,GHCND:USC00449025,",7",-0.7
2015-02-01T00:00:00,TAVG,GHCND:USC00449151,",7",-0.1
2015-02-01T00:00:00,TAVG,GHCND:USC00449181,",7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00449215,",7",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00449263,",7",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USC00449301,",7",-3.6
2015-02-01T00:00:00,TAVG,GHCND:USR0000VASH,"2,U",-2.5
2015-02-01T00:00:00,TAVG,GHCND:USR0000VBAC,",U",0.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000VCRA,",U",-1.5
2015-02-01T00:00:00,TAVG,GHCND:USR0000VFVA,",U",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USR0000VGDR,",U",0.6
2015-02-01T00:00:00,TAVG,GHCND:USR0000VJAM,",U",0.0
2015-02-01T00:00:00,TAVG,GHCND:USR0000VWIS,",U",-3.5
2015-02-01T00:00:00,TAVG,GHCND:USW00003739,",R",-0.8
2015-02-01T00:00:00,TAVG,GHCND:USW00003759,",R",-2.2
2015-02-01T00:00:00,TAVG,GHCND:USW00013728,"1,W",0.9
2015-02-01T00:00:00,TAVG,GHCND:USW00013733,",W",-1.7
2015-02-01T00:00:00,TAVG,GHCND:USW00013737,",W",0.3
2015-02-01T00:00:00,TAVG,GHCND:USW00013740,",W",-0.3
2015-02-01T00:00:00,TAVG,GHCND:USW00013741,",W",-0.7
2015-02-01T00:00:00,TAVG,GHCND:USW00013743,",W",-0.9
2015-02-01T00:00:00,TAVG,GHCND:USW00013750,",W",1.8
2015-02-01T00:00:00,TAVG,GHCND:USW00013762,",W",2.7
2015-02-01T00:00:00,TAVG,GHCND:USW00013769,"1,W",1.2
2015-02-01T00:00:00,TAVG,GHCND:USW00013773,",W",-1.8
2015-02-01T00:00:00,TAVG,GHCND:USW00013877,",W",-1.4
2015-02-01T00:00:00,TAVG,GHCND:USW00093736,",W",-1.5
2015-02-01T00:00:00,TAVG,GHCND:USW00093738,",W",-3.6
2015-02-01T00:00:00,TAVG,GHCND:USW00093739,",W",-2.5
2015-02-01T00:00:00,TAVG,GHCND:USW00093741,",W",0.8
2015-02-01T00:00:00,TAVG,GHCND:USW00093773,",W",0.2
2015-02-01T00:00:00,TAVG,GHCND:USW00093775,"2,W",-1.1
2015-03-01T00:00:00,TAVG,GHCND:USC00440021,"2,7",6.3
2015-03-01T00:00:00,TAVG,GHCND:USC00440187,"5,7",7.3
2015-03-01T00:00:00,TAVG,GHCND:USC00440243,",7",7.1
2015-03-01T00:00:00,TAVG,GHCND:USC00440327,",7",7.4
2015-03-01T00:00:00,TAVG,GHCND:USC00440735,",7",6.2
2015-03-01T00:00:00,TAVG,GHCND:USC00440766,",7",5.5
2015-03-01T00:00:00,TAVG,GHCND:USC00440860,"1,7",4.6
2015-03-01T00:00:00,TAVG,GHCND:USC00440993,"2,7",6.8
2015-03-01T00:00:00,TAVG,GHCND:USC00441082,",7",7.2
2015-03-01T00:00:00,TAVG,GHCND:USC00441209,",7",4.4
2015-03-01T00:00:00,TAVG,GHCND:USC00441322,",7",6.5
2015-03-01T00:00:00,TAVG,GHCND:USC00441585,",7",7.6
2015-03-01T00:00:00,TAVG,GHCND:USC00441593,",7",6.6
2015-03-01T00:00:00,TAVG,GHCND:USC00441606,",7",8.6
2015-03-01T00:00:00,TAVG,GHCND:USC00441614,",7",6.5
2015-03-01T00:00:00,TAVG,GHCND:USC00441692,",7",5.6
2015-03-01T00:00:00,TAVG,GHCND:USC00441746,"2,7",8.9
2015-03-01T00:00:00,TAVG,GHCND:USC00441825,",7",5.3
2015-03-01T00:00:00,TAVG,GHCND:USC00441999,",7",4.8
2015-03-01T00:00:00,TAVG,GHCND:USC00442009,",7",6.7
2015-03-01T00:00:00,TAVG,GHCND:USC00442044,"1,7",5.8
2015-03-01T00:00:00,TAVG,GHCND:USC00442142,",7",6.1
2015-03-01T00:00:00,TAVG,GHCND:USC00442208,",7",4.1
2015-03-01T00:00:00,TAVG,GHCND:USC00442400,",7",6.9
2015-03-01T00:00:00,TAVG,GHCND:USC00442635,",7",5.9
2015-03-01T00:00:00,TAVG,GHCND:USC00442663,",7",3.4
2015-03-01T00:00:00,TAVG,GHCND:USC00442941,",7",6.7
2015-03-01T00:00:00,TAVG,GHCND:USC00443204,"4,7",6.5
2015-03-01T00:00:00,TAVG,GHCND:USC00443213,",7",5.0
2015-03-01T00:00:00,TAVG,GHCND:USC00443229,",7",5.0
2015-03-01T00:00:00,TAVG,GHCND:USC00443267,"1,7",6.9
2015-03-01T00:00:00,TAVG,GHCND:USC00443272,",7",5.6
2015-03-01T00:00:00,TAVG,GHCND:USC00443310,"2,7",4.0
2015-03-01T00:00:00,TAVG,GHCND:USC00443640,",7",6.2
2015-03-01T00:00:00,TAVG,GHCND:USC00444101,"2,7",9.9
2015-03-01T00:00:00,TAVG,GHCND:USC00444128,",7",4.0
2015-03-01T00:00:00,TAVG,GHCND:USC00444414,",7",8.4
2015-03-01T00:00:00,TAVG,GHCND:USC00444777,",7",6.4
2015-03-01T00:00:00,TAVG,GHCND:USC00444876,",7",6.0
2015-03-01T00:00:00,TAVG,GHCND:USC00444909,",7",2.4
2015-03-01T00:00:00,TAVG,GHCND:USC00445050,",7",7.6
2015-03-01T00:00:00,TAVG,GHCND:USC00445096,"2,7",5.0
2015-03-01T00:00:00,TAVG,GHCND:USC00445150,",7",7.0
2015-03-01T00:00:00,TAVG,GHCND:USC00445300,",7",7.4
2015-03-01T00:00:00,TAVG,GHCND:USC00445453,",7",7.5
2015-03-01T00:00:00,TAVG,GHCND:USC00445595,",7",1.8
2015-03-01T00:00:00,TAVG,GHCND:USC00445700,",7",6.0
2015-03-01T00:00:00,TAVG,GHCND:USC00445851,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00445880,",7",2.4
2015-03-01T00:00:00,TAVG,GHCND:USC00446125,"1,7",6.0
2015-03-01T00:00:00,TAVG,GHCND:USC00446147,",7",8.2
2015-03-01T00:00:00,TAVG,GHCND:USC00446161,",7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00446475,",7",6.8
2015-03-01T00:00:00,TAVG,GHCND:USC00446491,"1,7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00446656,",7",7.8
2015-03-01T00:00:00,TAVG,GHCND:USC00446712,",7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00446955,",7",6.6
2015-03-01T00:00:00,TAVG,GHCND:USC00446999,",7",5.9
2015-03-01T00:00:00,TAVG,GHCND:USC00447174,",7",6.1
2015-03-01T00:00:00,TAVG,GHCND:USC00447278,",7",7.0
2015-03-01T00:00:00,TAVG,GHCND:USC00447338,",7",7.9
2015-03-01T00:00:00,TAVG,GHCND:USC00447506,",7",6.2
2015-03-01T00:00:00,TAVG,GHCND:USC00447541,",7",6.1
2015-03-01T00:00:00,TAVG,GHCND:USC00447904,",7",5.1
2015-03-01T00:00:00,TAVG,GHCND:USC00447925,",7",7.8
2015-03-01T00:00:00,TAVG,GHCND:USC00447985,",7",4.4
2015-03-01T00:00:00,TAVG,GHCND:USC00448022,",7",5.7
2015-03-01T00:00:00,TAVG,GHCND:USC00448062,",7",5.6
2015-03-01T00:00:00,TAVG,GHCND:USC00448084,"4,7",3.6
2015-03-01T00:00:00,TAVG,GHCND:USC00448129,",7",7.7
2015-03-01T00:00:00,TAVG,GHCND:USC00448170,",7",8.8
2015-03-01T00:00:00,TAVG,GHCND:USC00448192,",7",8.4
2015-03-01T00:00:00,TAVG,GHCND:USC00448600,",7",7.4
2015-03-01T00:00:00,TAVG,GHCND:USC00448737,",7",3.8
2015-03-01T00:00:00,TAVG,GHCND:USC00448800,",7",7.9
2015-03-01T00:00:00,TAVG,GHCND:USC00448829,",7",8.1
2015-03-01T00:00:00,TAVG,GHCND:USC00448837,",7",6.3
2015-03-01T00:00:00,TAVG,GHCND:USC00448888,"4,7",5.1
2015-03-01T00:00:00,TAVG,GHCND:USC00448894,",7",7.3
2015-03-01T00:00:00,TAVG,GHCND:USC00448941,",7",5.2
2015-03-01T00:00:00,TAVG,GHCND:USC00449025,",7",7.6
2015-03-01T00:00:00,TAVG,GHCND:USC00449151,",7",8.0
2015-03-01T00:00:00,TAVG,GHCND:USC00449181,",7",4.1
2015-03-01T00:00:00,TAVG,GHCND:USC00449215,",7",7.3
2015-03-01T00:00:00,TAVG,GHCND:USC00449263,",7",3.9
2015-03-01T00:00:00,TAVG,GHCND:USC00449301,",7",6.0
2015-03-01T00:00:00,TAVG,GHCND:USR0000VASH,",U",6.8
2015-03-01T00:00:00,TAVG,GHCND:USR0000VBAC,",U",8.3
2015-03-01T00:00:00,TAVG,GHCND:USR0000VCRA,",U",7.8
2015-03-01T00:00:00,TAVG,GHCND:USR0000VFVA,",U",5.2
2015-03-01T00:00:00,TAVG,GHCND:USR0000VGDR,",U",8.8
2015-03-01T00:00:00,TAVG,GHCND:USR0000VJAM,",U",8.4
2015-03-01T00:00:00,TAVG,GHCND:USR0000VWIS,",U",7.2
2015-03-01T00:00:00,TAVG,GHCND:USW00003739,",R",6.8
2015-03-01T00:00:00,TAVG,GHCND:USW00003759,",R",7.1
2015-03-01T00:00:00,TAVG,GHCND:USW00013728,",W",9.7
2015-03-01T00:00:00,TAVG,GHCND:USW00013733,",W",7.3
2015-03-01T00:00:00,TAVG,GHCND:USW00013737,",W",8.6
2015-03-01T00:00:00,TAVG,GHCND:USW00013740,",W",8.6
2015-03-01T00:00:00,TAVG,GHCND:USW00013741,",W",8.5
2015-03-01T00:00:00,TAVG,GHCND:USW00013743,",W",7.4
2015-03-01T00:00:00,TAVG,GHCND:USW00013750,",W",10.4
2015-03-01T00:00:00,TAVG,GHCND:USW00013762,"1,W",10.9
2015-03-01T00:00:00,TAVG,GHCND:USW00013769,",W",9.3
2015-03-01T00:00:00,TAVG,GHCND:USW00013773,"1,W",6.1
2015-03-01T00:00:00,TAVG,GHCND:USW00013877,",W",9.2
2015-03-01T00:00:00,TAVG,GHCND:USW00093736,",W",7.3
2015-03-01T00:00:00,TAVG,GHCND:USW00093738,",W",4.6
2015-03-01T00:00:00,TAVG,GHCND:USW00093739,",W",5.6
2015-03-01T00:00:00,TAVG,GHCND:USW00093741,",W",9.2
2015-03-01T00:00:00,TAVG,GHCND:USW00093773,",W",8.5
2015-03-01T00:00:00,TAVG,GHCND:USW00093775,"1,W",7.2
2015-04-01T00:00:00,TAVG,GHCND:USC00440021,",7",12.7
2015-04-01T00:00:00,TAVG,GHCND:USC00440187,"1,7",14.8
2015-04-01T00:00:00,TAVG,GHCND:USC00440243,",7",14.0
2015-04-01T00:00:00,TAVG,GHCND:USC00440327,",7",15.2
