date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:CA001018611,",C",7.1
2015-01-01T00:00:00,TAVG,GHCND:CA001135126,",C",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00350897,",7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00351407,",7",5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00450008,",7",7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00450257,",7",5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00450456,"2,7",4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00450482,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00450587,",7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00450668,",7",1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00450729,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00450844,",7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00450872,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00451160,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00451233,"1,7",4.3
2015-01-01T00:00:00,TAVG,GHCND:USC00451276,",7",5.9
2015-01-01T00:00:00,TAVG,GHCND:USC00451350,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00451400,"3,7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00451484,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00451496,"1,7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00451504,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00451630,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00451666,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00451679,",7",5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00451760,",7",7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00451767,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00451939,",7",6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00451992,",7",3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00452007,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00452030,"2,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00452157,",7",3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00452384,"4,7",0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00452505,"1,7",0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00452531,",7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00452548,",7",4.2
2015-01-01T00:00:00,TAVG,GHCND:USC00452563,",7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00452675,"3,7",6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00452914,",7",6.5
2015-01-01T00:00:00,TAVG,GHCND:USC00453222,",7",1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00453515,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00453529,"4,7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00453730,"1,7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00453883,",7",2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00454154,",7",2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00454338,"1,7",1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00454486,"1,7",5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00454572,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00454679,",7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00454748,",7",7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00454764,"4,7",2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00454769,",Z",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00455086,",7",6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00455110,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00455133,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00455326,"1,7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00455525,",7",4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00455659,",7",2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00455688,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00455704,",7",5.6
2015-01-01T00:00:00,TAVG,GHCND:USC00455774,",7",7.0
2015-01-01T00:00:00,TAVG,GHCND:USC00455840,",7",4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00455844,",7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00455946,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00456039,",7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00456096,",7",6.6
2015-01-01T00:00:00,TAVG,GHCND:USC00456262,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00456295,"3,7",7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00456534,",7",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USC00456747,"1,7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00456768,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00456789,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00456880,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00456898,"3,7",2.3
2015-01-01T00:00:00,TAVG,GHCND:USC00456914,",7",6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00456974,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00457015,",7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00457059,"2,7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00457180,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00457185,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00457247,",7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00457267,",7",1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00457342,"4,7",1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00457522,",7",-0.2
2015-01-01T00:00:00,TAVG,GHCND:USC00457544,",7",6.0
2015-01-01T00:00:00,TAVG,GHCND:USC00457696,",7",5.5
2015-01-01T00:00:00,TAVG,GHCND:USC00457794,"1,7",2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00457941,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00458034,"1,7",6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00458059,",7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00458211,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00458278,",7",7.3
2015-01-01T00:00:00,TAVG,GHCND:USC00458508,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00458521,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00458715,",7",2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00458773,",7",4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00459012,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00459074,",7",0.3
2015-01-01T00:00:00,TAVG,GHCND:USC00459238,"1,7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00459376,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00459455,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WABE,",U",6.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000WBLA,",U",6.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WBRO,",U",-2.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCA4,",U",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCAN,"2,U",7.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCAR,",U",6.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCEC,",U",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCNW,",U",1.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000WCOU,",U",5.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WDEE,",U",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USR0000WDIR,",U",-1.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000WDRC,",U",3.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000WDRY,"2,U",0.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000WELL,",U",5.1
2015-01-01T00:00:00,TAVG,GHCND:USR0000WELR,"2,U",7.2
2015-01-01T00:00:00,TAVG,GHCND:USR0000WESC,"2,U",1.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WFIN,",U",4.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000WFIR,"2,U",0.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000WFLO,",U",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WFTA,",U",5.8
2015-01-01T00:00:00,TAVG,GHCND:USR0000WGOH,",U",4.9
2015-01-01T00:00:00,TAVG,GHCND:USR0000WGOL,"2,U",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000WGRE,"2,U",2.5
2015-01-01T00:00:00,TAVG,GHCND:USR0000WGRN,",U",5.2
2015-01-01T00:00:00,TAVG,GHCND:USS0017A01S,",T",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USS0017B04S,",T",0.0
2015-01-01T00:00:00,TAVG,GHCND:USS0017C04S,",T",2.6
2015-01-01T00:00:00,TAVG,GHCND:USS0017C05S,",T",2.5
2015-01-01T00:00:00,TAVG,GHCND:USS0017C06S,",T",3.4
