date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00113312,",7",-7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00204090,",7",-11.1
2015-01-01T00:00:00,TAVG,GHCND:USC00204104,",7",-11.6
2015-01-01T00:00:00,TAVG,GHCND:USC00215488,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00216822,"1,7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00470045,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00470124,"1,7",-6.7
2015-01-01T00:00:00,TAVG,GHCND:USC00470175,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00470265,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00470273,",7",-7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00470308,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00470347,",7",-10.0
2015-01-01T00:00:00,TAVG,GHCND:USC00470382,",7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00470486,",7",-9.7
2015-01-01T00:00:00,TAVG,GHCND:USC00470516,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00470645,",7",-8.6
2015-01-01T00:00:00,TAVG,GHCND:USC00470652,",7",-7.2
2015-01-01T00:00:00,TAVG,GHCND:USC00470696,",7",-7.8
2015-01-01T00:00:00,TAVG,GHCND:USC00470742,",7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00470773,",7",-11.3
2015-01-01T00:00:00,TAVG,GHCND:USC00470904,",7",-10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00471062,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00471064,",7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00471078,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00471131,",7",-10.4
2015-01-01T00:00:00,TAVG,GHCND:USC00471205,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00471249,"3,7",-12.8
2015-01-01T00:00:00,TAVG,GHCND:USC00471287,"2,7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00471416,",7",-7.9
2015-01-01T00:00:00,TAVG,GHCND:USC00471568,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00471604,",7",-12.3
2015-01-01T00:00:00,TAVG,GHCND:USC00471605,",7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00471667,",7",-8.1
2015-01-01T00:00:00,TAVG,GHCND:USC00471676,"1,7",-9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00471847,",7",-10.6
2015-01-01T00:00:00,TAVG,GHCND:USC00471897,",7",-10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00471923,",7",-11.0
2015-01-01T00:00:00,TAVG,GHCND:USC00472001,",7",-8.0
2015-01-01T00:00:00,TAVG,GHCND:USC00472051,",7",-6.3
2015-01-01T00:00:00,TAVG,GHCND:USC00472055,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00472173,",7",-8.2
2015-01-01T00:00:00,TAVG,GHCND:USC00472279,",7",-8.9
