date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00425377,",7",-0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00480027,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00480140,",7",-5.1
2015-01-01T00:00:00,TAVG,GHCND:USC00480432,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00480484,",7",-3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00480540,",7",-8.8
2015-01-01T00:00:00,TAVG,GHCND:USC00480552,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00480603,"1,7",-7.4
2015-01-01T00:00:00,TAVG,GHCND:USC00480680,",7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00480761,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00480778,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00480865,"1,7",-10.2
2015-01-01T00:00:00,TAVG,GHCND:USC00480951,",7",-9.5
2015-01-01T00:00:00,TAVG,GHCND:USC00481000,",7",-6.1
2015-01-01T00:00:00,TAVG,GHCND:USC00481131,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00481165,",7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00481175,"1,7",0.8
2015-01-01T00:00:00,TAVG,GHCND:USC00481220,",7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00481284,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00481569,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00481676,",7",-0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00481730,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00481736,"1,7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00481775,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00481816,"1,7",-4.9
2015-01-01T00:00:00,TAVG,GHCND:USC00481850,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00482242,"4,7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00482375,",7",-9.9
2015-01-01T00:00:00,TAVG,GHCND:USC00482399,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00482415,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00482466,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00482580,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00482595,",7",-3.7
2015-01-01T00:00:00,TAVG,GHCND:USC00482685,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00482725,",7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00483031,"1,7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00483100,"5,7",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USC00483170,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00483396,"1,7",-2.7
2015-01-01T00:00:00,TAVG,GHCND:USC00483582,",7",-3.5
2015-01-01T00:00:00,TAVG,GHCND:USC00483855,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00483936,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00483944,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00484065,",7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00484080,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00484131,",7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00484205,",7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00484760,",7",-4.1
2015-01-01T00:00:00,TAVG,GHCND:USC00484910,",7",-7.6
2015-01-01T00:00:00,TAVG,GHCND:USC00484925,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00485055,",7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00485105,",7",-4.5
2015-01-01T00:00:00,TAVG,GHCND:USC00485345,",7",-8.4
2015-01-01T00:00:00,TAVG,GHCND:USC00485355,",7",-9.6
2015-01-01T00:00:00,TAVG,GHCND:USC00485374,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00485392,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00485417,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00485435,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00485506,",7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00485525,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00485612,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00485833,",7",-2.2
2015-01-01T00:00:00,TAVG,GHCND:USC00486195,"1,7",-4.6
2015-01-01T00:00:00,TAVG,GHCND:USC00486428,"4,7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00486440,",7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00486660,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00486845,",7",-8.3
2015-01-01T00:00:00,TAVG,GHCND:USC00486852,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00487031,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00487105,",7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00487115,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00487200,"1,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00487236,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00487260,",7",-7.5
2015-01-01T00:00:00,TAVG,GHCND:USC00487375,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00487388,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00487529,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00487555,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00487760,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00487847,"2,7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00487995,",7",-3.9
2015-01-01T00:00:00,TAVG,GHCND:USC00488074,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00488124,",7",-7.1
2015-01-01T00:00:00,TAVG,GHCND:USC00488160,",7",-4.8
2015-01-01T00:00:00,TAVG,GHCND:USC00488192,",7",-10.1
2015-01-01T00:00:00,TAVG,GHCND:USC00488209,",7",-6.4
2015-01-01T00:00:00,TAVG,GHCND:USC00488315,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00488626,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00488705,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00488758,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00488808,"1,7",-2.1
2015-01-01T00:00:00,TAVG,GHCND:USC00488852,",7",-3.4
2015-01-01T00:00:00,TAVG,GHCND:USC00488858,",7",-8.7
2015-01-01T00:00:00,TAVG,GHCND:USC00488875,",7",-5.2
2015-01-01T00:00:00,TAVG,GHCND:USC00488884,",7",-12.0
2015-01-01T00:00:00,TAVG,GHCND:USC00488997,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00489025,",7",-7.7
2015-01-01T00:00:00,TAVG,GHCND:USC00489205,",7",-4.7
