"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","1809","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00510746",",7","19.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00511918",",7","21.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00513117",",7","22.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00513317","2,7","22.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00514500","4,7","21.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00514561",",7","20.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00515000","2,7","15.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00515004",",7","14.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00515842",",7","21.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00517000","4,7","21.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00517166",",7","19.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00517312",",7","20.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00518055",",7","20.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00518165",",7","20.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00518422",",7","23.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00519281",",7","20.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00519397","1,7","22.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00519523",",7","21.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00519603",",7","20.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00519629","2,7","20.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HHAI",",U","20.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HHAK",",U","12.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HHON",",U","23.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HKAH",",U","21.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HKAN",",U","22.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HKAU",",U","14.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HKII",",U","21.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HKMO",",U","13.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HLAN",",U","20.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HMAK",",U","22.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HMAP",",U","20.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HMAR",",U","21.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HMLK",",U","17.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HMRG",",U","19.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HPAL",",U","18.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HPTA",",U","13.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HPTK",",U","12.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HPTW",",U","13.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HPUW",",U","18.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HSCH",",U","19.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HSCO","2,U","19.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000HWVA",",U","21.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00021504",",W","22.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00021510",",W","23.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00021514",",R","7.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00021515",",R","20.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022501","1,W","21.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022516",",W","21.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022519","1,W","22.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022521","1,W","22.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022534",",W","20.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022536",",W","21.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00022551",",W","21.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00510746",",7","19.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00511004","3,7","11.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00511918","5,7","22.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00513117",",7","23.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00513317","1,7","22.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00514500",",7","22.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00514561",",7","21.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00515000",",7","16.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00515004",",7","16.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00515842",",7","22.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00516128","5,7","21.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00517166",",7","19.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00517312",",7","21.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00518055",",7","21.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00518165",",7","21.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00518407",",7","21.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00518422",",7","24.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00519281",",7","21.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00519397","1,7","23.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00519523","2,7","22.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00519603","1,7","22.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HHAI",",U","21.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HHAK",",U","12.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HHON",",U","24.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HKAH",",U","22.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HKAN",",U","23.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HKAU","3,U","24.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HKII",",U","22.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HKMO",",U","13.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HLAN",",U","21.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HMAK",",U","23.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HMAP",",U","21.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HMAR",",U","22.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HMLK",",U","18.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HMRG",",U","19.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HPAL",",U","18.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HPTA",",U","14.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HPTK",",U","14.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HPTW",",U","15.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000HPUW",",U","19.6"
