"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","18616","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00100010",",7","-2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100218",",7","-0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100375",",7","-5.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100470","1,7","-4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100667",",7","-1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100803",",7","-5.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00100915",",7","-2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101017",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101018",",7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101079",",7","-1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101195",",7","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101220",",7","0.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101363",",7","-0.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101408",",7","-2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101514",",7","-4.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101551",",7","0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101636","4,7","-4.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101671","3,7","-6.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00101956",",7","-0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102187","2,7","-0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102260",",7","-4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102392",",7","-7.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102444",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102577",",7","-8.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102707","1,7","-4.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102845",",7","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102875",",7","-4.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00102942",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103108",",7","-4.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103143",",7","-0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103297",",7","-2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103448",",7","-2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103558",",7","-5.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103732",",7","-4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103932",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103940","1,7","-5.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00103964",",7","-5.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00104140",",7","-0.6"
