"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","4819","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00110072",",7","-5.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110137",",7","-0.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110140",",7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110338",",7","-6.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110356",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110442",",7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110598",",7","-3.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00110764",",7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111265","1,7","-0.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111290",",7","-1.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111302",",7","-0.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111329","1,7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111436","2,7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111475",",7","-4.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111497",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111550",",7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111577",",7","-3.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00111836",",7","-5.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112048","4,7","-5.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112140",",7","-3.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112193",",7","-3.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112223",",7","-7.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112348",",7","-6.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112353","1,7","1.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112483",",7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112500",",7","-6.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112687",",7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112736",",7","-6.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112745",",7","-7.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00112931",",7","-0.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113106",",7","-1.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113262","3,7","-7.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113290","1,7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113312",",7","-7.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113320",",7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113335","1,7","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113384",",7","-5.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113455","1,7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113580",",7","0.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00113717",",7","-3.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114012",",7","-4.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114108",",7","-1.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114198",",7","-4.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114355",",7","-5.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114400","3,7","-2.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114442",",7","-2.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114447",",7","-3.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114489",",7","-2.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114530",",7","-5.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114603",",7","-5.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114629",",7","-0.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114710",",7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114780",",7","-5.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114823",",7","-4.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115079",",7","-4.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115110",",7","-4.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115326",",7","-7.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115372",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115493",",7","-6.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115712","2,7","-5.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115768",",7","-6.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115772",",7","-5.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00115825",",7","-5.8"
