"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","4932","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00113455","1,7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00114355",",7","-5.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00117391","2,7","-4.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130112","1,7","-5.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130133",",7","-7.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130149","2,7","-4.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130157",",7","-7.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130200",",7","-4.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130203",",7","-6.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130214",",7","-6.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130241",",7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130364",",7","-4.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130385",",7","-5.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130512",",7","-6.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130536","1,7","-4.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130576","5,7","-4.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130608","1,7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130753",",7","-4.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130807",",7","-6.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00130923","3,7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00131060",",7","-4.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00131233","2,7","-5.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00131257",",7","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00131277",",7","-5.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00131319",",7","-5.1"
