"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","6295","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00118020","2,7","3.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00126151",",7","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00128967",",7","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150254","1,7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150381","2,7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150397","1,K","4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150422","1,7","4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150450","1,7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150483",",7","3.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150860",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00150955",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151080",",7","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151227","2,7","3.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151517",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151810",",7","2.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151890",",7","4.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151895",",7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151900",",K","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00151998",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00152040",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00152442",",7","6.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00152791",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00152903",",7","2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153230","1,7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153389",",7","2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153430","1,K","4.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153762",",7","3.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153768","4,7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153840","3,7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00153994",",7","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154138","2,7","2.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154208","2,7","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154375",",7","4.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154449",",7","4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154955","3,7","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00154958",",7","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155067","4,K","4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155097",",7","5.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155243","1,7","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155444",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155524",",7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155640","1,7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155648","1,7","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155694",",7","5.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155706",",7","1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00155834",",7","4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156012","1,7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156028",",7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156136",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156580",",7","5.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156595","3,7","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156624",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156890","1,7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00156988","4,K","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00157049",",7","4.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00157158","1,7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00157215",",7","4.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00157431",",7","4.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00157510","2,7","4.3"
