"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","5713","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00160098",",K","12.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00160103",",K","12.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00160349",",7","9.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00160537",",7","9.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00160718",",7","9.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00160800",",7","10.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161232",",K","13.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161235",",7","11.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161287",",K","13.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161411",",7","10.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161565",",7","14.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161899",",7","12.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00161979","1,7","10.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00162212",",K","13.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00162367",",K","12.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00162534",",7","14.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00162981",",K","13.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00163079","1,7","10.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00163313",",K","14.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00163807",",7","17.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00163979","1,K","14.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164030",",7","12.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164288","1,7","11.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164355",",7","8.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164674",",K","14.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164696",",7","11.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164700",",K","13.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00164739",",7","12.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165021",",K","14.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165065",",K","14.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165090",",7","10.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165266",",K","12.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165296",",K","14.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165620",",7","12.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00165874","5,7","10.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166244",",7","9.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166364",",7","10.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166394",",K","14.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166434",",K","14.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166584",",7","12.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166686",",7","13.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00166938",",K","13.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00167691",",7","11.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00167924","3,7","11.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00167932",",K","14.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168067",",7","9.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168163","3,7","12.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168181",",K","14.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168444",",7","10.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168448",",7","11.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168539",",7","13.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168923","1,7","11.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00168941",",7","15.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00169013","2,7","13.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00169376",",K","13.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00169804",",7","11.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00169806",",7","11.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00226177",",7","11.5"
