"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","2407","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00180700",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00181530",",7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00181790",",Z","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182060",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182282",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182308",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182325",",7","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182336",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00182906",",7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00183353",",7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00183415",",7","-1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00185111",",7","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00185865",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00185934",",7","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00186620",",K","-0.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00186800",",7","3.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00187806",",7","4.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00188065","2,K","-0.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00188315",",7","-1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00188371",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00188405",",7","4.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00188557",",7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00189070",",7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00189570","3,7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00460527",",7","-1.5"
