"Request__RequestParam__ParameterName","Request__RequestParam__ParameterValue","Results__Statistic","Results__UnitOfMeasure","Results__PublicTable","Results__UTCProductionTime","Results__NoteRef","Results__Dimensions__Name","Results__Dimensions__DataType","Results__Dimensions__IsValue","Results__Data__Code","Results__Data__GeoFips","Results__Data__GeoName","Results__Data__TimePeriod","Results__Data__CL_UNIT","Results__Data__UNIT_MULT","Results__Data__DataValue","Results__Notes__NoteRef","Results__Notes__NoteText"
"USERID","FEEBB598-6971-4200-B8AC-33BB9E56CB0A","Personal income","Millions of dollars","SAINC1 State annual personal income summary: personal income, population, per capita personal income","2023-11-26T20:00:52.787"," ","Code","string","0","SAINC1-1","00000","United States","2017","Millions of dollars","6","1.6659e+007","*","Estimates prior to 1950 are not available for Alaska and Hawaii."
"METHOD","GETDATA","","","","","","GeoFips","string","0","SAINC1-1","00000","United States","2018","Millions of dollars","6","1.75144e+007","Note.","All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"DATASETNAME","REGIONAL","","","","","","GeoName","string","0","SAINC1-1","00000","United States","2019","Millions of dollars","6","1.83436e+007"," ","Last updated: September 29, 2023-- revised statistics for 1979-2022."
"RESULTFORMAT","JSON","","","","","","TimePeriod","string","0","SAINC1-1","00000","United States","2020","Millions of dollars","6","1.961e+007","",""
"LINECODE","1","","","","","","DataValue","numeric","1","SAINC1-1","00000","United States","2021","Millions of dollars","6","2.13928e+007","",""
"TABLENAME","SAINC1","","","","","","CL_UNIT","string","0","SAINC1-1","00000","United States","2022","Millions of dollars","6","2.18202e+007","",""
"GEOFIPS","STATE","","","","","","UNIT_MULT","numeric","0","SAINC1-1","01000","Alabama","2017","Millions of dollars","6","197964","",""
"YEAR","2017,2018,2019,2020,2021,2022","","","","","","","","","SAINC1-1","01000","Alabama","2018","Millions of dollars","6","205674","",""
"","","","","","","","","","","SAINC1-1","01000","Alabama","2019","Millions of dollars","6","215166","",""
"","","","","","","","","","","SAINC1-1","01000","Alabama","2020","Millions of dollars","6","230873","",""
"","","","","","","","","","","SAINC1-1","01000","Alabama","2021","Millions of dollars","6","252792","",""
"","","","","","","","","","","SAINC1-1","01000","Alabama","2022","Millions of dollars","6","258362","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2017","Millions of dollars","6","41919.4","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2018","Millions of dollars","6","43522.7","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2019","Millions of dollars","6","44507.6","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2020","Millions of dollars","6","45366.3","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2021","Millions of dollars","6","48207.9","",""
"","","","","","","","","","","SAINC1-1","02000","Alaska *","2022","Millions of dollars","6","50349.7","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2017","Millions of dollars","6","297262","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2018","Millions of dollars","6","315459","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2019","Millions of dollars","6","337214","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2020","Millions of dollars","6","374312","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2021","Millions of dollars","6","409886","",""
"","","","","","","","","","","SAINC1-1","04000","Arizona","2022","Millions of dollars","6","430084","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2017","Millions of dollars","6","123825","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2018","Millions of dollars","6","128971","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2019","Millions of dollars","6","131439","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2020","Millions of dollars","6","142112","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2021","Millions of dollars","6","156362","",""
"","","","","","","","","","","SAINC1-1","05000","Arkansas","2022","Millions of dollars","6","160254","",""
"","","","","","","","","","","SAINC1-1","06000","California","2017","Millions of dollars","6","2.29505e+006","",""
"","","","","","","","","","","SAINC1-1","06000","California","2018","Millions of dollars","6","2.41106e+006","",""
"","","","","","","","","","","SAINC1-1","06000","California","2019","Millions of dollars","6","2.53795e+006","",""
"","","","","","","","","","","SAINC1-1","06000","California","2020","Millions of dollars","6","2.76752e+006","",""
"","","","","","","","","","","SAINC1-1","06000","California","2021","Millions of dollars","6","3.01368e+006","",""
"","","","","","","","","","","SAINC1-1","06000","California","2022","Millions of dollars","6","3.00665e+006","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2017","Millions of dollars","6","303367","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2018","Millions of dollars","6","328113","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2019","Millions of dollars","6","351373","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2020","Millions of dollars","6","375158","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2021","Millions of dollars","6","417968","",""
"","","","","","","","","","","SAINC1-1","08000","Colorado","2022","Millions of dollars","6","442213","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2017","Millions of dollars","6","249451","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2018","Millions of dollars","6","260582","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2019","Millions of dollars","6","267553","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2020","Millions of dollars","6","278374","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2021","Millions of dollars","6","292371","",""
"","","","","","","","","","","SAINC1-1","09000","Connecticut","2022","Millions of dollars","6","300751","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2017","Millions of dollars","6","48077.1","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2018","Millions of dollars","6","51150.4","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2019","Millions of dollars","6","52740.7","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2020","Millions of dollars","6","55338.4","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2021","Millions of dollars","6","59172.3","",""
"","","","","","","","","","","SAINC1-1","10000","Delaware","2022","Millions of dollars","6","64406.6","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2017","Millions of dollars","6","54158.7","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2018","Millions of dollars","6","56395.7","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2019","Millions of dollars","6","57492.3","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2020","Millions of dollars","6","60178.6","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2021","Millions of dollars","6","65205.6","",""
"","","","","","","","","","","SAINC1-1","11000","District of Columbia","2022","Millions of dollars","6","64472.8","",""
"","","","","","","","","","","SAINC1-1","12000","Florida","2017","Millions of dollars","6","1.011e+006","",""
"","","","","","","","","","","SAINC1-1","12000","Florida","2018","Millions of dollars","6","1.07801e+006","",""
"","","","","","","","","","","SAINC1-1","12000","Florida","2019","Millions of dollars","6","1.14546e+006","",""
