Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SAGDP2N-1,00000,United States *,2017,Millions of current dollars,6,"19,612,100.00"
SAGDP2N-1,00000,United States *,2018,Millions of current dollars,6,"20,656,500.00"
SAGDP2N-1,00000,United States *,2019,Millions of current dollars,6,"21,521,400.00"
SAGDP2N-1,00000,United States *,2020,Millions of current dollars,6,"21,323,000.00"
SAGDP2N-1,00000,United States *,2021,Millions of current dollars,6,"23,594,000.00"
SAGDP2N-1,00000,United States *,2022,Millions of current dollars,6,"25,744,100.00"
SAGDP2N-1,01000,Alabama,2017,Millions of current dollars,6,"216,616.00"
SAGDP2N-1,01000,Alabama,2018,Millions of current dollars,6,"226,264.00"
SAGDP2N-1,01000,Alabama,2019,Millions of current dollars,6,"234,526.00"
SAGDP2N-1,01000,Alabama,2020,Millions of current dollars,6,"235,118.00"
SAGDP2N-1,01000,Alabama,2021,Millions of current dollars,6,"257,987.00"
SAGDP2N-1,01000,Alabama,2022,Millions of current dollars,6,"281,569.00"
SAGDP2N-1,02000,Alaska,2017,Millions of current dollars,6,"53,550.90"
SAGDP2N-1,02000,Alaska,2018,Millions of current dollars,6,"54,762.00"
SAGDP2N-1,02000,Alaska,2019,Millions of current dollars,6,"54,469.90"
SAGDP2N-1,02000,Alaska,2020,Millions of current dollars,6,"51,261.50"
SAGDP2N-1,02000,Alaska,2021,Millions of current dollars,6,"58,646.00"
SAGDP2N-1,02000,Alaska,2022,Millions of current dollars,6,"65,698.80"
SAGDP2N-1,04000,Arizona,2017,Millions of current dollars,6,"333,099.00"
SAGDP2N-1,04000,Arizona,2018,Millions of current dollars,6,"353,671.00"
SAGDP2N-1,04000,Arizona,2019,Millions of current dollars,6,"375,545.00"
SAGDP2N-1,04000,Arizona,2020,Millions of current dollars,6,"386,444.00"
SAGDP2N-1,04000,Arizona,2021,Millions of current dollars,6,"432,280.00"
SAGDP2N-1,04000,Arizona,2022,Millions of current dollars,6,"475,654.00"
SAGDP2N-1,05000,Arkansas,2017,Millions of current dollars,6,"123,883.00"
SAGDP2N-1,05000,Arkansas,2018,Millions of current dollars,6,"129,214.00"
SAGDP2N-1,05000,Arkansas,2019,Millions of current dollars,6,"132,637.00"
SAGDP2N-1,05000,Arkansas,2020,Millions of current dollars,6,"135,885.00"
SAGDP2N-1,05000,Arkansas,2021,Millions of current dollars,6,"151,932.00"
SAGDP2N-1,05000,Arkansas,2022,Millions of current dollars,6,"165,989.00"
SAGDP2N-1,06000,California,2017,Millions of current dollars,6,"2,740,550.00"
SAGDP2N-1,06000,California,2018,Millions of current dollars,6,"2,899,530.00"
SAGDP2N-1,06000,California,2019,Millions of current dollars,6,"3,062,160.00"
SAGDP2N-1,06000,California,2020,Millions of current dollars,6,"3,068,810.00"
SAGDP2N-1,06000,California,2021,Millions of current dollars,6,"3,416,940.00"
SAGDP2N-1,06000,California,2022,Millions of current dollars,6,"3,641,640.00"
SAGDP2N-1,08000,Colorado,2017,Millions of current dollars,6,"350,209.00"
SAGDP2N-1,08000,Colorado,2018,Millions of current dollars,6,"373,923.00"
SAGDP2N-1,08000,Colorado,2019,Millions of current dollars,6,"397,702.00"
SAGDP2N-1,08000,Colorado,2020,Millions of current dollars,6,"397,612.00"
SAGDP2N-1,08000,Colorado,2021,Millions of current dollars,6,"447,052.00"
SAGDP2N-1,08000,Colorado,2022,Millions of current dollars,6,"491,289.00"
SAGDP2N-1,09000,Connecticut,2017,Millions of current dollars,6,"273,875.00"
