"Request__RequestParam__ParameterName","Request__RequestParam__ParameterValue","Results__Statistic","Results__UnitOfMeasure","Results__PublicTable","Results__UTCProductionTime","Results__NoteRef","Results__Dimensions__Name","Results__Dimensions__DataType","Results__Dimensions__IsValue","Results__Data__Code","Results__Data__GeoFips","Results__Data__GeoName","Results__Data__TimePeriod","Results__Data__CL_UNIT","Results__Data__UNIT_MULT","Results__Data__DataValue","Results__Notes__NoteRef","Results__Notes__NoteText"
"USERID","FEEBB598-6971-4200-B8AC-33BB9E56CB0A","Gross domestic product (GDP) by state: All industry total","Millions of current dollars","SAGDP2N Gross domestic product (GDP) by state","2023-11-26T19:57:59.337"," ","Code","string","0","SAGDP2N-1","00000","United States *","2017","Millions of current dollars","6","1.96121e+007","*","For the all industry total, government and government enterprises, federal civilian, and military, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"METHOD","GETDATA","","","","","","GeoFips","string","0","SAGDP2N-1","00000","United States *","2018","Millions of current dollars","6","2.06565e+007"," ","Last updated: September 29, 2023-- revised statistics for 2017-2022."
"DATASETNAME","REGIONAL","","","","","","GeoName","string","0","SAGDP2N-1","00000","United States *","2019","Millions of current dollars","6","2.15214e+007","",""
"TABLENAME","SAGDP2N","","","","","","TimePeriod","string","0","SAGDP2N-1","00000","United States *","2020","Millions of current dollars","6","2.1323e+007","",""
"RESULTFORMAT","JSON","","","","","","DataValue","numeric","1","SAGDP2N-1","00000","United States *","2021","Millions of current dollars","6","2.3594e+007","",""
"LINECODE","1","","","","","","CL_UNIT","string","0","SAGDP2N-1","00000","United States *","2022","Millions of current dollars","6","2.57441e+007","",""
"GEOFIPS","STATE","","","","","","UNIT_MULT","numeric","0","SAGDP2N-1","01000","Alabama","2017","Millions of current dollars","6","216616","",""
"YEAR","ALL","","","","","","","","","SAGDP2N-1","01000","Alabama","2018","Millions of current dollars","6","226264","",""
"","","","","","","","","","","SAGDP2N-1","01000","Alabama","2019","Millions of current dollars","6","234526","",""
"","","","","","","","","","","SAGDP2N-1","01000","Alabama","2020","Millions of current dollars","6","235118","",""
"","","","","","","","","","","SAGDP2N-1","01000","Alabama","2021","Millions of current dollars","6","257987","",""
"","","","","","","","","","","SAGDP2N-1","01000","Alabama","2022","Millions of current dollars","6","281569","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2017","Millions of current dollars","6","53550.9","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2018","Millions of current dollars","6","54762","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2019","Millions of current dollars","6","54469.9","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2020","Millions of current dollars","6","51261.5","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2021","Millions of current dollars","6","58646","",""
"","","","","","","","","","","SAGDP2N-1","02000","Alaska","2022","Millions of current dollars","6","65698.8","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2017","Millions of current dollars","6","333099","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2018","Millions of current dollars","6","353671","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2019","Millions of current dollars","6","375545","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2020","Millions of current dollars","6","386444","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2021","Millions of current dollars","6","432280","",""
"","","","","","","","","","","SAGDP2N-1","04000","Arizona","2022","Millions of current dollars","6","475654","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2017","Millions of current dollars","6","123883","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2018","Millions of current dollars","6","129214","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2019","Millions of current dollars","6","132637","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2020","Millions of current dollars","6","135885","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2021","Millions of current dollars","6","151932","",""
"","","","","","","","","","","SAGDP2N-1","05000","Arkansas","2022","Millions of current dollars","6","165989","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2017","Millions of current dollars","6","2.74055e+006","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2018","Millions of current dollars","6","2.89953e+006","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2019","Millions of current dollars","6","3.06216e+006","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2020","Millions of current dollars","6","3.06881e+006","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2021","Millions of current dollars","6","3.41694e+006","",""
"","","","","","","","","","","SAGDP2N-1","06000","California","2022","Millions of current dollars","6","3.64164e+006","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2017","Millions of current dollars","6","350209","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2018","Millions of current dollars","6","373923","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2019","Millions of current dollars","6","397702","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2020","Millions of current dollars","6","397612","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2021","Millions of current dollars","6","447052","",""
"","","","","","","","","","","SAGDP2N-1","08000","Colorado","2022","Millions of current dollars","6","491289","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2017","Millions of current dollars","6","273875","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2018","Millions of current dollars","6","280535","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2019","Millions of current dollars","6","285466","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2020","Millions of current dollars","6","275802","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2021","Millions of current dollars","6","295908","",""
"","","","","","","","","","","SAGDP2N-1","09000","Connecticut","2022","Millions of current dollars","6","319345","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2017","Millions of current dollars","6","69555.6","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2018","Millions of current dollars","6","73376","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2019","Millions of current dollars","6","78685.8","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2020","Millions of current dollars","6","77615.1","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2021","Millions of current dollars","6","82952.8","",""
"","","","","","","","","","","SAGDP2N-1","10000","Delaware","2022","Millions of current dollars","6","90208.3","",""
